25.10.2018   N1108
Образец: "23_V"
LiF200
Трубка: "40.0/0.100"
        Отр1            Отр2
   [мА]  [Имп/с]   [мА]  [Имп/с]
   2490    96.0    1246    11.0
   2491     113    1247     9.0
   2492     108    1247    16.0
   2493     184    1248    19.0
   2494     215    1248    13.0
   2495     230    1249    15.0
   2496     249    1249    10.0
   2497     280    1250    13.0
   2498     350    1250     7.0
   2499     349    1251    14.0
   2500     410    1251    18.0
   2501     452    1252    13.0
   2502     485    1252    11.0
   2503     627    1253    21.0
   2504     861    1253    18.0
   2505    1243    1254     6.0
   2506    1759    1254    15.0
   2507    2455    1255    15.0
   2508    3415    1255     7.0
   2509    4505    1256    24.0
   2510    5390    1256    28.0
   2511    6268    1257    28.0
   2512    6899    1257    30.0
   2513    7559    1258    23.0
   2514    7744    1258    23.0
   2515    7783    1259    43.0
   2516    7706    1259    28.0
   2517    6952    1260    17.0
   2518    6102    1260    20.0
   2519    4820    1261    17.0
   2520    3873    1261    16.0
   2521    2853    1262    17.0
   2522    2124    1262    13.0
   2523    1609    1263    13.0
   2524    1260    1263    11.0
   2525     943    1264    13.0
   2526     706    1264    18.0
   2527     481    1265     9.0
   2528     417    1265     8.0
   2529     337    1266    12.0
   2530     300    1266     7.0
   2730     367    1366     8.0
   2731     391    1366    11.0
   2732     448    1367     7.0
   2733     486    1367     9.0
   2734     518    1368     9.0
   2735     553    1368     7.0
   2736     531    1369     6.0
   2737     679    1369     9.0
   2738     756    1370     6.0
   2739    1112    1370     5.0
   2740    1877    1371    13.0
   2741    3155    1371     7.0
   2742    5103    1372    15.0
   2743    7697    1372    34.0
   2744   10549    1373    43.0
   2745   13910    1373    68.0
   2746   17014    1374    74.0
   2747   19829    1374     122
   2748   21577    1375     137
   2749   22990    1375     171
   2750   23264    1376     150
   2751   22209    1376     145
   2752   19415    1377     115
   2753   16369    1377    78.0
   2754   13172    1378    48.0
   2755   10096    1378    38.0
   2756    7324    1379    26.0
   2757    4902    1379    14.0
   2758    3170    1380     9.0
   2759    2046    1380     8.0
   2760    1277    1381    10.0
   2761     899    1381     9.0
   2762     571    1382    12.0
   2763     472    1382     9.0
   2764     288    1383    16.0
   2765     248    1383     9.0
   2766     198    1384    10.0
   2767     180    1384     3.0
   2768     169    1385     5.0
   2769     146    1385    10.0
   2770     123    1386    12.0
