25.10.2018   N1108
Образец: "22_Ti"
LiF200
Трубка: "40,0/0,100"
        Отр1            Отр2
   [мА]  [Имп/с]   [мА]  [Имп/с]
    795    1141     407     0,0
    800     604     409    33,5
    805     872     411    67,1
    810    1308     414     101
    815    1476     416     134
    820    1610     419     101
    825    1275     421     101
    830     805     424     101
    835     570     426     101
    840     503     429    67,1
    845     671     431    67,1
    850    1040     433    33,5
    855    1141     436    67,1
    860    1174     438    67,1
    865     939     441    67,1
    870     671     443    67,1
    875     503     446    33,5
    880     637     448    33,5
    885     671     451    33,5
    890     772     453    33,5
    895     805     456    67,1
    900     805     458    67,1
    905     738     460    67,1
    910     604     463    67,1
    915     503     465    67,1
    920     503     468    67,1
    925     570     470    67,1
    930     604     473    67,1
    935     637     475     101
    940     637     477     101
    945     637     480     101
    950     570     482     101
    955     470     485     101
    960     436     487     101
    965     470     490     101
    970     503     492     101
    975     705     495     134
    980     738     497     134
    985     671     500     134
    990     604     502     101
    995     604     504     134
   1000     772     507     168
   1005     872     509     201
   1010     906     512     201
   1015    1040     514     201
   1020    1074     517     201
   1025    1141     519     168
   1030    1141     522     168
   1035    1006     524     168
   1040    1006     526     201
   1045     906     529     168
   1050     805     531     201
   1055     772     534     168
   1060     772     536     168
   1065     872     539     201
   1070     906     541     235
   1075     805     544     268
   1080     705     546     302
   1085     772     549     302
   1090     839     551     335
   1095     805     554     369
   1100     805     556     369
   1105     772     558     403
   1110     772     561     403
   1115     738     563     403
   1120     705     566     369
   1125     738     568     335
   1130     738     571     268
   1135     772     573     268
   1140     705     576     235
   1145     772     578     235
   1150     805     581     235
   1155     772     583     235
   1160     671     586     235
   1165     671     588     235
   1170     604     591     235
   1175     637     593     201
   1180     705     596     235
   1185     738     598     168
   1190     705     601     201
   1195     671     603     168
   1200     537     605     201
   1205     470     608     134
   1210     503     611     134
   1215     470     613     134
   1220     503     615     134
   1225     570     618     134
   1230     570     620     101
   1235     436     623     134
   1240     369     625     134
   1245     335     628     101
   1250     369     630     101
   1255     436     633     101
   1260     470     635     101
   1265     302     638     101
   1270     335     640     101
   1275     436     643     101
   1280     369     645     101
   1285     369     648     134
   1290     335     650     101
   1295     369     653     134
   1300     470     655     134
   1305     470     658     101
   1310     403     660    67,1
   1315     302     663     101
   1320     369     665    67,1
   1325     302     668    33,5
   1330     403     670    67,1
   1335     403     673    67,1
   1340     470     675    67,1
   1345     470     678     101
   1350     503     680     101
   1355     403     683     134
   1360     302     685     134
   1365     335     688     134
   1370     470     690     134
   1375     403     692     134
   1380     335     695     134
   1385     268     697     134
   1390     302     700     134
   1395     537     702     101
   1400     570     705     101
   1405     470     707     101
   1410     403     710    67,1
   1415     369     712    67,1
   1420     268     715     101
   1425     335     717     101
   1430     302     720     101
   1435     302     722     134
   1440     335     725     134
   1445     369     727     134
   1450     335     730     101
   1455     235     732     101
   1460     201     735     101
   1465     201     737     101
   1470     335     740     101
   1475     369     742    67,1
   1480     235     745    67,1
   1485     302     747     101
   1490     302     750     101
   1495     235     752     101
   1500     235     755     101
   1505     268     757     101
   1510     235     760    67,1
   1515     168     762    67,1
   1520     134     765    67,1
   1525     302     767    67,1
   1530     470     770    67,1
   1535     705     772    33,5
   1540     973     774    67,1
   1545     805     777    67,1
   1550     503     779     101
   1555     268     782    67,1
   1560     268     784    67,1
   1565     201     787    67,1
   1570     201     789    67,1
   1575     235     792    67,1
   1580     134     794     101
   1585     268     797    67,1
   1590     235     799    33,5
   1595     201     802    33,5
   1600     201     804    33,5
   1605     134     807    67,1
   1610     201     809    67,1
   1615     235     812    67,1
   1620     235     814    67,1
   1625     201     817    67,1
   1630     235     819    33,5
   1635     168     822     101
   1640     134     824     134
   1645     134     827     101
   1650     268     829    67,1
   1655     335     832    67,1
   1660     235     834    33,5
   1665     168     836    33,5
   1670     168     839    33,5
   1675     168     841    67,1
   1680     168     844     101
   1685     201     846    67,1
   1690     134     849    33,5
   1695     101     851    33,5
   1700     168     854    67,1
   1705     201     856    67,1
   1710     101     859    67,1
   1715     101     861    67,1
   1720     134     864    67,1
   1725     168     866    67,1
   1730     168     869    33,5
   1735     168     871    33,5
   1740    67,1     874    33,5
   1745     101     876    67,1
   1750     168     879    67,1
   1755     302     881    67,1
   1760     235     884     101
   1765     235     886     101
   1770     134     889    67,1
   1775     101     891    67,1
   1780     168     894    33,5
   1785     168     896    67,1
   1790    67,1     899    67,1
   1795     134     901    67,1
   1800     134     903    33,5
   1805    33,5     906    33,5
   1810     101     908    33,5
   1815     101     911    33,5
   1820     134     913     0,0
   1825    33,5     916     0,0
   1830     134     918    33,5
   1835     134     921    33,5
   1840     134     923    67,1
   1845    67,1     926    33,5
   1850     134     928    67,1
   1855     168     931    33,5
   1860    33,5     933    33,5
   1865    33,5     936     0,0
   1870     101     938    33,5
   1875    33,5     941    33,5
   1880    67,1     943    33,5
   1885     101     946    33,5
   1890    33,5     948    33,5
   1895    33,5     951    33,5
   1900    67,1     953    33,5
   1905    67,1     956     0,0
   1910    33,5     958    33,5
   1915     101     961    33,5
   1920    67,1     963    33,5
   1925     168     966    33,5
   1930     335     968    33,5
   1935     403     970    67,1
   1940     369     973     101
   1945     302     976    67,1
   1950     101     978    33,5
   1955    33,5     980     0,0
   1960    67,1     983    33,5
   1965    67,1     985    33,5
   1970     101     988    33,5
   1975    67,1     990    33,5
   1980    33,5     993    33,5
   1985    67,1     995    33,5
   1990    67,1     998     0,0
   1995    67,1    1000     0,0
   2000     101    1003     0,0
   2005     101    1005    33,5
   2010     0,0    1008    33,5
   2015    33,5    1010     0,0
   2020    33,5    1013    33,5
   2025    33,5    1015    33,5
   2030    33,5    1018     0,0
   2035    67,1    1020     0,0
   2040     0,0    1023    33,5
   2045    33,5    1025    67,1
   2050    33,5    1028    67,1
   2055    67,1    1030    67,1
   2060    33,5    1033    33,5
   2065    33,5    1035    33,5
   2070     0,0    1038    33,5
   2075    33,5    1040    33,5
   2080    33,5    1043    67,1
   2085     101    1045    33,5
   2090    33,5    1048     0,0
   2095     0,0    1050    33,5
   2100    67,1    1052    67,1
   2105    33,5    1055    33,5
   2110    33,5    1057     0,0
