25.10.2018   N1108
Образец: "C:\Documents and Settings\student\Рабочий стол\PhysLab5\25_Mn"
LiF200
Трубка: "40.0/0.100"
        Отр1            Отр2
   [мА]  [Имп/с]   [мА]  [Имп/с]
    795    1244     407    67.2
    800     941     409    67.2
    805    1277     411    33.6
    810    1513     414    33.6
    815    1479     416    33.6
    820    1378     419    67.2
    825    1042     421    33.6
    830     739     424    67.2
    835     672     426    67.2
    840     807     429    67.2
    845     840     431    67.2
    850     739     433    67.2
    855     605     436    67.2
    860     571     438    67.2
    865     605     441    67.2
    870     706     443    33.6
    875     639     446    67.2
    880     639     448    67.2
    885     571     451    67.2
    890     639     453    67.2
    895     672     456    67.2
    900     672     458    67.2
    905     706     460    67.2
    910     739     463    67.2
    915     739     465    33.6
    920     706     468    33.6
    925     605     470    33.6
    930     571     473    67.2
    935     504     475    67.2
    940     571     477    67.2
    945     706     480    67.2
    950     706     482    67.2
    955     605     485    67.2
    960     639     487     101
    965     739     490     134
    970    1076     492     168
    975    1277     495     202
    980    1311     497     269
    985    1176     500     303
    990    1244     502     303
    995    1143     504     303
   1000    1143     507     269
   1005    1076     509     235
   1010    1008     512     202
   1015    1008     514     202
   1020     941     517     168
   1025     975     519     168
   1030    1008     522     168
   1035    1042     524     134
   1040    1008     526     134
   1045     975     529     134
   1050    1042     531     168
   1055    1042     534     202
   1060     975     536     202
   1065     941     539     235
   1070     840     541     235
   1075     874     544     269
   1080     941     546     235
   1085     908     549     269
   1090     941     551     269
   1095     840     554     336
   1100     773     556     303
   1105     739     558     336
   1110     739     561     336
   1115     908     563     336
   1120     874     566     336
   1125     706     568     303
   1130     639     571     336
   1135     706     573     303
   1140     739     576     303
   1145     639     578     303
   1150     706     581     269
   1155     571     583     269
   1160     504     586     269
   1165     605     588     269
   1170     706     591     303
   1175     739     593     303
   1180     672     596     303
   1185     605     598     269
   1190     471     601     269
   1195     605     603     235
   1200     706     605     202
   1205     773     608     235
   1210     605     611     235
   1215     571     613     235
   1220     538     615     235
   1225     504     618     235
   1230     471     620     202
   1235     403     623     202
   1240     471     625     168
   1245     471     628     168
   1250     370     630     134
   1255     269     633     101
   1260     403     635     134
   1265     437     638     101
   1270     437     640     101
   1275     403     643     101
   1280     403     645     134
   1285     336     648     134
   1290     471     650     168
   1295     437     653     168
   1300     370     655     168
   1305     403     658     101
   1310     471     660     101
   1315     370     663     101
   1320     403     665     134
   1325     437     668     134
   1330     370     670     168
   1335     269     673     134
   1340     269     675     134
   1345     303     678     101
   1350     336     680     101
   1355     235     683     101
   1360     269     685     101
   1365     235     688     101
   1370     269     690     101
   1375     303     692     101
   1380     370     695     101
   1385     370     697     101
   1390     403     700     101
   1395     471     702     101
   1400     504     705     101
   1405     370     707     101
   1410     303     710     101
   1415     269     712     101
   1420     269     715     101
   1425     303     717     101
   1430     269     720    67.2
   1435     437     722    67.2
   1440     370     725    67.2
   1445     269     727    67.2
   1450     303     730     101
   1455     269     732     101
   1460     168     735     101
   1465     134     737     134
   1470     168     740     168
   1475     235     742     134
   1480     269     745     134
   1485     235     747    67.2
