25.10.2018   N1108
Образец: "C:\Documents and Settings\student\Рабочий стол\PhysLab5\26_Fe"
LiF200
Трубка: "40,0/0,100"
        Отр1            Отр2
   [мА]  [Имп/с]   [мА]  [Имп/с]
    795    1344     407    67,2
    800     807     409    33,6
    805     908     411    33,6
    810    1008     414    33,6
    815     908     416    33,6
    820     874     419    33,6
    825     672     421    33,6
    830     504     424    33,6
    835     504     426    33,6
    840     706     429    33,6
    845     773     431     0,0
    850     672     433    33,6
    855     504     436    33,6
    860     437     438    33,6
    865     538     441    33,6
    870     605     443    33,6
    875     672     446    33,6
    880     672     448    33,6
    885     571     451    33,6
    890     571     453    33,6
    895     538     456    33,6
    900     504     458    33,6
    905     504     460    33,6
    910     538     463    33,6
    915     639     465     0,0
    920     639     468     0,0
    925     571     470     0,0
    930     504     473     0,0
    935     370     475    33,6
    940     471     477    67,2
    945     571     480    67,2
    950     605     482     101
    955     538     485     101
    960     639     487     168
    965     807     490     202
    970    1109     492     202
    975    1311     495     235
    980    1311     497     269
    985    1244     500     269
    990    1176     502     235
    995    1109     504     202
   1000    1042     507     202
   1005     908     509     168
   1010     840     512     168
   1015     908     514     168
   1020    1076     517     134
   1025    1143     519     134
   1030    1210     522     134
   1035    1176     524     101
   1040    1076     526     101
   1045    1076     529     101
   1050     975     531     134
   1055     807     534     134
   1060     840     536     134
   1065     840     539     134
   1070     840     541     134
   1075     807     544     168
   1080     807     546     202
   1085     807     549     202
   1090     840     551     202
   1095     908     554     269
   1100     941     556     269
   1105     874     558     303
   1110     773     561     269
   1115     840     563     235
   1120     874     566     235
   1125     908     568     202
   1130     739     571     168
   1135     605     573     134
   1140     706     576     168
   1145     672     578     134
   1150     639     581     134
   1155     706     583     168
   1160     840     586     168
   1165    1008     588     168
   1170    1042     591     168
   1175    1109     593     168
   1180     975     596     134
   1185     874     598     101
   1190     739     601     134
   1195     840     603     101
   1200     807     605     134
   1205     773     608     101
   1210     639     611     101
   1215     639     613     134
   1220     605     615     134
   1225     605     618     134
   1230     538     620     134
   1235     571     623     134
   1240     571     625     101
   1245     639     628    67,2
   1250     605     630    67,2
   1255     672     633    67,2
   1260     571     635    67,2
   1265     571     638    67,2
   1270     504     640    67,2
   1275     571     643     101
   1280     538     645     101
   1285     639     648     101
   1290     672     650     101
   1295     706     653     101
   1300     773     655     101
   1305     571     658     101
   1310     538     660     101
   1315     538     663     101
   1320     571     665     101
   1325     504     668    67,2
