25.10.2018   N1108
Образец: "28_Ni"
LiF200
Трубка: "40,0/0,100"
        Отр1            Отр2
   [мА]  [Имп/с]   [мА]  [Имп/с]
    795    1345     407     0,0
    800     874     409    33,6
    805     841     411    33,6
    810     841     414    33,6
    815     807     416    33,6
    820     807     419    33,6
    825     807     421    33,6
    830     673     424    33,6
    835     673     426    33,6
    840     807     429    33,6
    845     774     431    33,6
    850     673     433    33,6
    855     538     436    33,6
    860     504     438    33,6
    865     572     441    33,6
    870     706     443    33,6
    875     807     446    33,6
    880     774     448     0,0
    885     605     451    33,6
    890     504     453    33,6
    895     504     456     0,0
    900     538     458     0,0
    905     740     460     0,0
    910     740     463     0,0
    915     807     465    33,6
    920     807     468    33,6
    925     740     470    33,6
    930     706     473    33,6
    935     572     475    33,6
    940     639     477    67,3
    945     774     480    33,6
    950     908     482    33,6
    955    1043     485    67,3
    960    1110     487     101
    965    1345     490     135
    970    1648     492     202
    975    1816     495     202
    980    1951     497     202
    985    1816     500     202
    990    1816     502     202
    995    1816     504     168
   1000    1749     507     168
   1005    1850     509     168
   1010    1883     512     135
   1015    1850     514     135
   1020    1749     517     101
   1025    1614     519    67,3
   1030    1614     522    67,3
   1035    1715     524    67,3
   1040    1783     526    67,3
   1045    1850     529    67,3
   1050    1850     531    67,3
   1055    1816     534    67,3
   1060    1682     536     101
   1065    1648     539     101
   1070    1513     541     101
   1075    1480     544     101
   1080    1648     546     101
   1085    1682     549     101
   1090    1850     551     101
   1095    1816     554     135
   1100    1715     556     168
   1105    1682     558     168
   1110    1547     561     202
   1115    1513     563     168
   1120    1614     566     168
   1125    1682     568     168
   1130    1682     571     168
   1135    1547     573     135
   1140    1513     576     101
   1145    1379     578     101
   1150    1446     581     101
   1155    1513     583    67,3
   1160    1480     586     101
   1165    1413     588     101
   1170    1312     591     101
   1175    1446     593     101
   1180    1446     596     101
   1185    1614     598    67,3
   1190    1480     601    67,3
   1195    1379     603    67,3
   1200    1278     605     101
   1205    1312     608     101
   1210    1278     611     101
   1215    1144     613     101
   1220    1177     615    67,3
   1225    1244     618    67,3
   1230    1379     620    33,6
   1235    1345     623    33,6
   1240    1413     625    33,6
   1245    1244     628    33,6
   1250    1110     630    67,3
   1255    1009     633    33,6
   1260    1110     635    33,6
   1265    1244     638    33,6
   1270    1211     640    33,6
   1275    1110     643    67,3
   1280    1144     645    67,3
   1285    1144     648    67,3
   1290     975     650    67,3
   1295    1144     653    33,6
   1300    1312     655    33,6
   1305     975     658    67,3
   1310     975     660    67,3
   1315    1177     663    67,3
   1320    1177     665    67,3
   1325    1076     668    67,3
   1330    1076     670    67,3
   1335    1009     673    67,3
   1340    1009     675    67,3
   1345    1009     678    67,3
   1350     908     680    67,3
   1355     908     683    67,3
   1360    1043     685    67,3
   1365     975     688    67,3
   1370     942     690    67,3
   1375    1009     692    67,3
   1380     874     695    33,6
   1385     774     697    33,6
   1390     841     700    33,6
