25.10.2018   N1108
Образец: "C:\Documents and Settings\student\Рабочий стол\PhysLab5\29_Cu_Precise1"
LiF200
Трубка: "40,0/0,100"
        Отр1            Отр2
   [мА]  [Имп/с]   [мА]  [Имп/с]
   1380   51766     695     671
   1381   61418     696     947
   1382   70564     696    1234
   1383   78378     696    1450
   1384   87476     697    1827
   1385   94730     697    2201
   1386  101783     698    2586
   1387  107440     698    2811
   1388  113318     699    3042
   1389  117424     699    3274
   1390  120212     700    3393
   1391  122357     700    3552
   1392  123107     701    3564
   1393  122310     701    3581
   1394  120683     702    3414
   1395  117379     702    3289
   1535  395009     772   24579
   1536  415292     772   26170
   1537  430362     773   26350
   1538  443928     773   26987
   1539  453020     774   27262
   1540  457663     774   27598
   1541  459633     775   27568
   1542  457797     775   27444
   1543  451230     776   27474
   1544  440388     776   27434
   1545  426242     777   27329
   1546  407995     777   26930
   1547  392273     778   26106
   1548  366198     778   25422
   1549  338977     779   22992
   1550  308088     779   20288
   1581    1985     795     101
   1592    2019     800     0,0
   1601    1716     805    33,6
   1612    1447     810    33,6
   1622    1312     815     0,0
   1632     976     820    33,6
   1642     875     825    33,6
   1652     807     830    33,6
   1662     841     835    33,6
   1672     639     840     0,0
   1682     639     845     0,0
   1692     807     850    33,6
   1702     740     855    33,6
   1712     639     860    33,6
   1723     976     865     0,0
   1733     774     870    33,6
   1743     875     875    33,6
   1753     673     880     0,0
   1763     707     885     0,0
   1773     841     890     0,0
   1783     606     895    33,6
   1793     538     900    33,6
   1803     572     905     0,0
   1813     673     910    33,6
   1823     538     915     0,0
   1833     707     920     0,0
   1843     707     925    33,6
   1853     572     930    33,6
   1864     572     935     0,0
   1873     437     940     0,0
   1884     707     945     0,0
   1894     740     950    33,6
   1904     707     955    67,3
   1914     538     960     0,0
   1924     673     965     0,0
   1934     807     970     0,0
   1944     673     975     0,0
   1954     471     980    33,6
   1964     404     985     0,0
   1974     437     990     0,0
   1984     538     995    33,6
   1994     303    1000     0,0
   2004     404    1005     0,0
   2014     370    1010     0,0
   2025     336    1015     0,0
   2035     336    1020     0,0
   2045     673    1025     0,0
   2055     437    1030     0,0
   2065     538    1035     0,0
   2075     437    1040     0,0
   2085     437    1045     0,0
   2095     471    1050    33,6
   2105     505    1055     0,0
   2115     370    1060     0,0
   2125     336    1065    33,6
   2135     202    1070     0,0
   2145     538    1075     0,0
   2155     538    1080     0,0
   2165     370    1085     101
   2176     303    1090     0,0
   2186     168    1095     0,0
   2196     437    1100     0,0
   2206     168    1105     0,0
   2216     303    1110     0,0
   2226     336    1115     0,0
   2236     303    1120    33,6
   2246     202    1125     0,0
   2256     269    1130    33,6
   2266     404    1135    33,6
   2276     236    1140    33,6
   2286     336    1145     0,0
   2296     370    1150     0,0
   2306     336    1155    33,6
   2317     236    1160    33,6
   2326     269    1165    67,3
   2337     168    1170    67,3
   2347     236    1175     0,0
   2357     236    1180     0,0
   2367     168    1185    33,6
   2377     135    1190    33,6
   2387     269    1195    67,3
   2397     269    1200    67,3
   2407     236    1205    33,6
   2417     236    1210    67,3
   2427     236    1215    33,6
   2437    67,3    1220    33,6
   2447     202    1225    67,3
   2457     202    1230    33,6
   2467     168    1235    67,3
   2477     303    1240     101
   2487     236    1245    33,6
   2497     101    1250    33,6
   2507     101    1255    67,3
   2517     168    1260    67,3
   2527     135    1265    67,3
   2537     135    1270    67,3
   2548     101    1275    67,3
   2558     135    1280     0,0
   2568     202    1285    67,3
   2578     168    1290     0,0
   2588    33,6    1295    67,3
   2598     135    1300     0,0
   2608     168    1305     101
   2618     101    1310     101
   2628     135    1315    67,3
   2638    67,3    1320     0,0
   2648     202    1325    33,6
   2658     101    1330    33,6
   2668     202    1335     101
   2678     101    1340     0,0
   2688     135    1345    33,6
   2698     236    1350    33,6
   2708     101    1355    33,6
   2718    67,3    1360     0,0
   2728     135    1365     0,0
   2738    67,3    1370    33,6
   2749     101    1375     101
   2758     119    1380     197
   2760     138    1381     213
   2762     105    1382     220
   2765     125    1383     281
   2767     117    1384     285
   2769     141    1385     444
   2771     124    1386     728
   2773     165    1387    1383
   2775     225    1388    2618
   2777     306    1389    4295
   2779     480    1390    6490
   2781     578    1391    7910
   2783     663    1392    8852
   2785     584    1393    8209
   2787     460    1394    5952
   2789     298    1395    3191
   2799    33,6    1400     202
   2809     101    1405     135
   2819    67,3    1410     101
   2829    67,3    1415     202
   2839    67,3    1420     101
   2849    33,6    1425    67,3
   2859    67,3    1430     101
   2869     101    1435     135
   2879    33,6    1440     168
   2889     0,0    1445     202
   2899    67,3    1450     135
   2909    67,3    1455     135
   2919     236    1460    67,3
   2929     0,0    1465     101
   2939    67,3    1470     135
   2949    67,3    1475    67,3
   2959    33,6    1480    67,3
   2970    67,3    1485     135
   2979    33,6    1490    67,3
   2990    67,3    1495    67,3
   3000     101    1500     135
   3010     0,0    1505     101
   3020    33,6    1510     101
   3030    67,3    1515     135
   3040    67,3    1520     101
   3050    67,3    1525     101
   3060    67,3    1530     236
   3070    83,0    1535    1234
   3072     137    1536    2341
   3074     327    1537    6055
   3076     735    1538   14244
   3078    1300    1539   24845
   3080    1835    1540   34155
   3082    2010    1541   36140
   3084    1614    1542   28483
   3086    26,0    1543    57,0
   3088     8,0    1544    36,0
   3090     8,0    1545    17,0
   3092     5,0    1546    15,0
   3094     6,0    1547    15,0
   3096     5,0    1548    13,0
   3098     5,0    1549    11,0
   3100     6,0    1550     8,0
   3110    33,6    1555     135
   3120    33,6    1560    67,3
   3130    33,6    1565     168
   3140     0,0    1570     135
   3150    67,3    1575     101
   3160    67,3    1580    33,6
   3170    33,6    1585     135
   3180     0,0    1590    67,3
   3190     0,0    1595    67,3
   3200     0,0    1600     0,0
