25.10.2018   N1108
Образец: "C:\Documents and Settings\student\Рабочий стол\PhysLab5\41_Nb"
LiF200
Трубка: "40.0/0.100"
        Отр1            Отр2
   [мА]  [Имп/с]   [мА]  [Имп/с]
    798   14741     408     134
    808    9133     413    67.2
    818    6783     418    33.6
    829    5137     423    67.2
    839    3324     428    67.2
    849    2115     433    33.6
    859    1511     438    33.6
    870     839     443    33.6
    880     974     448    33.6
    890    1242     453    33.6
    900    1175     458    33.6
    910    1108     463    33.6
    921     974     468    33.6
    931    1007     473    33.6
    941    1914     478    33.6
    951    1880     483    67.2
    962    2653     488     101
    972    3291     493     134
    982    3391     498     168
    992    3391     503     168
   1002    3291     508     101
   1012    3358     513    67.2
   1023    3123     518    67.2
   1033    2854     523    67.2
   1043    2888     528    67.2
   1053    2720     533    67.2
   1064    2787     538    67.2
   1074    2619     543     101
   1084    2753     548     134
   1094    2787     553     134
   1104    2418     558     134
   1114    2586     563     201
   1124    2653     568     201
   1134    2451     573     201
   1144    2216     578     168
   1155    2283     583     235
   1165    2216     588     269
   1175    2183     593     269
   1185    2183     598     302
   1195    1948     603     336
   1205    1746     608     302
   1215    1813     613     269
   1225    1780     618     269
   1235    1645     623     369
   1245    1545     628     403
   1255    1511     633     470
   1265    1511     638     604
   1269    1474     640     847
   1271    1633     641     951
   1273    1548     642    1170
   1275    1534     643    1225
   1277    1650     644    1417
   1279    1638     645    1637
   1281    1658     646    1924
   1283    1738     647    2151
   1285    1830     648    2531
   1287    1879     649    2916
   1289    1926     650    3337
   1292    1991     651    3819
   1294    2071     652    4043
   1296    2230     653    4727
   1298    2285     654    5133
   1300    2325     655    5655
   1302    2440     656    5965
   1303    2535     657    6447
   1305    2442     658    6949
   1308    2556     659    7282
   1310    2615     660    7604
   1312    2646     661    7893
   1314    2766     662    8138
   1316    2840     663    8217
   1318    2870     664    8786
   1320    2966     665    8831
   1322    3006     666    8669
   1324    3073     667    8656
   1326    2974     668    8643
   1328    2998     669    8142
   1330    2778     670    7525
   1332    2652     671    6791
   1334    2529     672    6153
   1336    2342     673    5359
   1338    2028     674    4814
   1340    1897     675    3919
   1342    1695     676    3212
   1344    1611     677    2445
   1346    1387     678    1901
   1348    1271     679    1519
   1350    1219     680    1278
   1356    1041     683     806
   1366    1007     688     806
   1376    1209     693     604
   1386    1242     698     537
   1396    1007     703     604
   1406    1007     708     638
   1416     940     713     739
   1426     839     718     772
   1436     907     723     974
   1440    1016     725    1382
   1442    1062     726    1799
   1444    1119     727    2316
   1446    1194     728    2960
   1448    1286     729    4022
   1450    1527     730    5248
   1452    1666     731    6705
   1454    2088     732    8728
   1456    2338     733   10610
   1459    2783     734   13296
   1461    3415     735   15878
   1463    4125     736   18744
   1465    4683     737   21546
   1467    5440     738   24759
   1469    5554     739   28606
   1470    6179     740   31322
   1472    6947     741   34786
   1475    7778     742   38314
   1477    8541     743   41151
   1479    9356     744   44255
   1481   10067     745   47345
   1483   10652     746   49063
   1485   11008     747   50110
   1487   11338     748   50462
   1489   11313     749   49293
   1491   10960     750   47193
   1493   10082     751   44320
   1495    9329     752   39771
   1497    8218     753   35869
   1499    7246     754   30481
   1501    4816     755   25678
   1503    3956     756   20206
   1505    3053     757   15324
   1507    2377     758   11032
   1509    2005     759    7870
   1511    1642     760    5454
   1513    1412     761    3694
   1515    1324     762    2479
   1517    1240     763    1858
   1519    1214     764    1484
   1521    1160     765    1275
   1527    1242     768     806
   1537    2283     773     571
   1547    1578     778     504
   1557     806     783     638
   1567     806     788     504
   1577     604     793     437
   1587     504     798     369
   1598     571     803     302
   1608     470     808     470
   1618     739     813     336
   1628     537     818     336
   1638     571     823     336
   1648     604     828     369
   1658     504     833     235
   1668     437     838     302
   1678     437     843     369
   1688     470     848     302
   1698     403     853     302
   1708     504     858     369
   1718     336     863     336
   1729     403     868     235
   1739     269     873     235
   1749     437     878     201
   1759     437     883     302
   1769     302     888     369
   1779     537     893     302
   1789     269     898     101
