25.10.2018   N1108
Образец: "42_Mo"
LiF200
Трубка: "40,0/0,100"
        Отр1            Отр2
   [мА]  [Имп/с]   [мА]  [Имп/с]
    798    4197     408    33,6
    808    2787     413    33,6
    818    1511     418    33,6
    829    1142     423     0,0
    839    1142     428    33,6
    849    1242     433     0,0
    859    1142     438     0,0
    870    1007     443     0,0
    880    1007     448     0,0
    890    1142     453     0,0
    900    1242     458     0,0
    910    1142     463     0,0
    921    1041     468    33,6
    931    1007     473    33,6
    941    1343     478    33,6
    951    1679     483    67,1
    962    1981     488     101
    972    2988     493     134
    982    3357     498     168
    992    3190     503     201
   1002    2921     508     168
   1012    3055     513     134
   1023    3190     518     101
   1033    2887     523     101
   1043    2720     528     101
   1053    2887     533     134
   1064    2787     538     168
   1074    2787     543     201
   1084    2753     548     235
   1094    2787     553     269
   1104    2753     558     302
   1114    2451     563     302
   1124    2485     568     403
   1134    2014     573     369
   1144    2115     578     302
   1155    2216     583     302
   1165    1981     588     336
   1175    2048     593     403
   1185    2283     598     504
   1195    2182     603     671
   1205    2014     608    1209
   1215    1981     613    2451
   1225    2518     618    4298
   1235    3223     623    6245
   1245    3693     628    7924
   1255    3223     633    8494
   1265    2720     638    6379
   1275    2686     643    3022
   1285    2216     648    1074
   1296    1712     653     671
   1305    1309     658     671
   1316    1309     663     671
   1326    1209     668     772
   1336    1276     673     772
   1346    1074     678     806
   1356    1209     683     940
   1366    1209     688    2182
   1376    2182     693    7151
   1386    4600     698   18231
   1396    8394     703   32232
   1406   10576     708   44722
   1416   11651     713   41935
   1426    5909     718   22764
   1436    2182     723    5406
   1446     940     728    1074
   1456     940     733     873
   1467    1645     738     671
   1477    1612     743     604
   1487    1242     748     537
   1497     638     753     571
   1507     571     758     537
   1517     705     763     336
   1527     873     768     369
   1537    1847     773     336
   1547    2014     778     436
   1557     705     783     403
   1567     571     788     403
   1577     604     793     369
   1587     571     798     302
   1598     571     803     302
   1608     470     808     302
   1618     537     813     269
   1628     504     818     336
   1638     504     823     302
   1648     537     828     235
   1658     470     833     269
   1668     369     838     269
   1678     571     843     302
   1688     403     848     302
   1698     403     853     336
   1708     269     858     302
   1718     537     863     168
   1729     369     868     302
   1739     436     873     134
   1749     369     878     336
   1759     436     883     235
   1769     235     888     235
   1779     235     893     168
   1789     302     898     201
