25.10.2018   N1108
Образец: "C:\Documents and Settings\student\Рабочий стол\PhysLab5\42_Mo"
LiF200
Трубка: "40,0/0,100"
        Отр1            Отр2
   [мА]  [Имп/с]   [мА]  [Имп/с]
    798    4197     408    33,6
    808    2787     413    33,6
    818    1511     418    33,6
    829    1142     423     0,0
    839    1142     428    33,6
    849    1242     433     0,0
    859    1142     438     0,0
    870    1007     443     0,0
    880    1007     448     0,0
    890    1142     453     0,0
    900    1242     458     0,0
    910    1142     463     0,0
    921    1041     468    33,6
    931    1007     473    33,6
    941    1343     478    33,6
    951    1679     483    67,1
    962    1981     488     101
    972    2988     493     134
    982    3357     498     168
    992    3190     503     201
   1002    2921     508     168
   1012    3055     513     134
   1023    3190     518     101
   1033    2887     523     101
   1043    2720     528     101
   1053    2887     533     134
   1064    2787     538     168
   1074    2787     543     201
   1084    2753     548     235
   1094    2787     553     269
   1104    2753     558     302
   1114    2451     563     302
   1124    2485     568     403
   1134    2014     573     369
   1144    2115     578     302
   1155    2216     583     302
   1165    1981     588     336
   1175    2048     593     403
   1185    2283     598     504
   1189    1876     600     611
   1191    1919     601     652
   1193    1957     602     728
   1195    1903     603     740
   1197    1971     604     824
   1199    1851     605     921
   1201    1861     606     959
   1203    1913     607    1101
   1205    1823     608    1206
   1207    1828     609    1301
   1209    1850     610    1524
   1211    1849     611    1764
   1213    1899     612    1997
   1215    1940     613    2346
   1217    1934     614    2555
   1219    2008     615    3003
   1221    2170     616    3331
   1223    2090     617    3736
   1225    2317     618    4105
   1227    2335     619    4643
   1229    2600     620    5042
   1231    2579     621    5550
   1233    2783     622    6051
   1235    2890     623    6333
   1237    3133     624    6851
   1239    3110     625    6994
   1241    3117     626    7514
   1243    3027     627    7757
   1245    3076     628    8087
   1247    3196     629    8562
   1249    3331     630    8549
   1251    3234     631    8712
   1253    3220     632    8722
   1255    3226     633    8979
   1257    3114     634    8895
   1259    3067     635    8175
   1261    3051     636    7991
   1263    2868     637    7436
   1265    2861     638    6779
   1267    2860     639    6160
   1269    2823     640    5310
   1271    2785     641    4733
   1273    2674     642    4174
   1275    2563     643    3332
   1277    2635     644    2700
   1279    2511     645    2182
   1281    2487     646    1702
   1283    2472     647    1413
   1285    2273     648    1185
   1287    2224     649    1023
   1289    2092     650     965
   1292    1902     651     893
   1294    1811     652     849
   1296    1694     653     764
   1298    1570     654     732
   1300    1510     655     757
   1302    1422     656     684
   1303    1355     657     675
   1305    1382     658     701
   1308    1266     659     665
   1310    1280     660     726
   1316    1309     663     671
   1326    1209     668     772
   1336    1276     673     772
   1346    1074     678     806
   1350    1184     680     974
   1352    1132     681     976
   1354    1125     682     963
   1356    1122     683    1068
   1358    1174     684    1130
   1360    1165     685    1120
   1362    1092     686    1384
   1364    1137     687    1484
   1366    1206     688    1817
   1368    1328     689    2338
   1370    1429     690    2918
   1372    1460     691    3836
   1374    1661     692    4977
   1376    1850     693    6342
   1378    2161     694    8010
   1380    2558     695   10203
   1382    3050     696   12307
   1384    3446     697   14426
   1386    4133     698   17161
   1388    4729     699   19974
   1390    5280     700   22802
   1392    5968     701   25401
   1394    6713     702   28423
   1396    7489     703   31575
   1398    8206     704   34182
   1400    9009     705   36863
   1402    9796     706   39672
   1404    9649     707   42557
   1406   10525     708   45295
   1408   10945     709   47082
   1410   11332     710   47820
   1412   11523     711   48207
   1414   11630     712   47659
   1416   11025     713   46171
   1418   10527     714   43384
   1420    9886     715   40168
   1422    8993     716   36119
   1424    7967     717   31543
   1426    6565     718   26224
   1428    5411     719   21143
   1430    4342     720   16714
   1432    3409     721   12704
   1434    2704     722    9235
   1436    1937     723    6882
   1438    1605     724    4889
   1440    1344     725    3436
   1442    1180     726    2468
   1444    1021     727    1864
   1446     969     728    1471
   1448     953     729    1255
   1450     903     730    1122
   1452     893     731    1032
   1454     891     732     832
   1456     884     733     802
   1459     850     734     760
   1461     957     735     706
   1463    1090     736     649
   1465    1206     737     626
   1467    1311     738     654
   1469    1515     739     608
   1470    1609     740     640
   1477    1612     743     604
   1487    1242     748     537
   1497     638     753     571
   1507     571     758     537
   1517     705     763     336
   1527     873     768     369
   1537    1847     773     336
   1547    2014     778     436
   1557     705     783     403
   1567     571     788     403
   1577     604     793     369
   1587     571     798     302
   1598     571     803     302
   1608     470     808     302
   1618     537     813     269
   1628     504     818     336
   1638     504     823     302
   1648     537     828     235
   1658     470     833     269
   1668     369     838     269
   1678     571     843     302
   1688     403     848     302
   1698     403     853     336
   1708     269     858     302
   1718     537     863     168
   1729     369     868     302
   1739     436     873     134
   1749     369     878     336
   1759     436     883     235
   1769     235     888     235
   1779     235     893     168
   1789     302     898     201
