25.10.2018   N1108
Образец: "C:\Documents and Settings\student\Рабочий стол\PhysLab5\47_Ag"
LiF200
Трубка: "40,0/0,100"
        Отр1            Отр2
   [мА]  [Имп/с]   [мА]  [Имп/с]
    796    3416     407     100
    798    2713     408     100
    800    2110     409    67,0
    802    1675     410    67,0
    804    1440     411    67,0
    806    1273     412    33,5
    808    1072     413    33,5
    810     971     414    33,5
    812     837     415    33,5
    814     737     416    33,5
    816     770     417    33,5
    818     737     418    33,5
    820     770     419    33,5
    823     804     420    33,5
    825     804     421     0,0
    827     804     422    33,5
    829     770     423    33,5
    831     770     424    33,5
    833     737     425    33,5
    835     770     426    33,5
    837     770     427    33,5
    839     770     428    33,5
    841     737     429    33,5
    843     737     430    33,5
    845     770     431    33,5
    847     770     432    33,5
    849     770     433    33,5
    851     837     434    33,5
    853     871     435    33,5
    855     938     436    33,5
    857     938     437    33,5
    859     971     438    33,5
    861    1005     439    33,5
    863    1005     440    33,5
    866     971     441    33,5
    868     938     442    33,5
    870     837     443    33,5
    872     770     444    33,5
    874     703     445    33,5
    876     670     446    33,5
    878     636     447    33,5
    880     603     448    33,5
    882     603     449    33,5
    884     670     450    33,5
    886     670     451    33,5
    888     737     452    33,5
    890     804     453    33,5
    892     837     454    33,5
    894     904     455    33,5
    896     971     456    33,5
    898     971     457    33,5
    900     938     458    33,5
    902     837     459    33,5
    904     804     460    67,0
    906     670     461    67,0
    908     603     462    67,0
    910     569     463    67,0
    912     603     464    67,0
    914     636     465    67,0
    916     670     466    67,0
    919     670     467     100
    921     703     468     100
    923     703     469     100
    925     770     470     134
    927     804     471     167
    929     837     472     201
    931     837     473     201
    933     837     474     234
    935     804     475     268
    937     804     476     268
    939     804     477     234
    941     837     478     268
    943     804     479     268
    945     770     480     268
    947     703     481     301
    949     703     482     335
    951     670     483     368
    953     603     484     435
    955     569     485     502
    957     603     486     569
    959     804     487     636
    962     971     488     737
    964    1139     489     804
    966    1440     490     938
    968    1675     491    1105
    970    1876     492    1172
    972    2144     493    1306
    974    2412     494    1474
    976    2579     495    1507
    978    2713     496    1641
    980    2646     497    1708
    982    2646     498    1775
    984    2479     499    1809
    986    2512     500    1842
    988    2479     501    1809
    990    2345     502    1775
    992    2278     503    1708
    994    2211     504    1641
    996    2144     505    1574
    998    2144     506    1507
   1000    2110     507    1373
   1002    2177     508    1273
   1004    2177     509    1172
   1006    2144     510    1072
   1008    2144     511    1005
   1010    2043     512     904
   1012    1976     513     837
   1014    1943     514     770
   1017    1876     515     703
   1019    1809     516     636
   1021    1742     517     569
   1023    1675     518     536
   1025    1675     519     469
   1027    1608     520     435
   1029    1608     521     402
   1031    1708     522     368
   1033    1675     523     402
   1035    1708     524     402
   1037    1675     525     435
   1039    1675     526     502
   1041    1742     527     502
   1043    1742     528     502
   1045    1742     529     569
   1047    1641     530     569
   1049    1641     531     670
   1051    1641     532     770
   1053    1641     533     871
   1055    1809     534    1072
   1057    1708     535    1206
   1059    1742     536    1541
   1062    1775     537    1809
   1064    1976     538    2144
   1066    2043     539    2412
   1067    2144     540    2746
   1069    2211     541    3148
   1072    2311     542    3450
   1074    2378     543    3852
   1076    2479     544    4287
   1078    2612     545    4823
   1080    2780     546    5292
   1082    2780     547    5694
   1084    2847     548    6196
   1086    2981     549    6598
   1088    3148     550    7067
   1090    3249     551    7469
   1092    3215     552    7938
   1094    3316     553    8373
   1096    3416     554    8675
   1098    3483     555    9144
   1100    3450     556    9546
   1102    3450     557    9713
   1104    3550     558   10081
   1106    3483     559   10182
   1108    3483     560   10182
   1110    3517     561   10081
   1112    3483     562   10014
   1114    3517     563    9814
   1116    3517     564    9378
   1118    3550     565    8943
   1120    3483     566    8574
   1122    3282     567    7904
   1124    2981     568    7268
   1126    2746     569    6531
   1128    2579     570    5895
   1130    2278     571    5258
   1132    2043     572    4488
   1134    1876     573    3885
   1136    1742     574    3249
   1138    1608     575    2713
   1140    1574     576    2278
   1142    1507     577    1775
   1144    1373     578    1407
   1146    1306     579    1139
   1149    1239     580     871
   1151    1306     581     737
   1153    1306     582     703
   1155    1273     583     569
   1156    1340     584     469
   1158    1273     585     502
   1161    1239     586     435
   1163    1306     587     435
   1165    1340     588     469
   1167    1306     589     469
   1169    1373     590     469
   1171    1407     591     435
   1173    1407     592     402
   1175    1440     593     402
   1177    1507     594     402
   1179    1474     595     402
   1181    1373     596     402
   1183    1306     597     402
   1185    1239     598     402
   1187    1139     599     435
   1189    1038     600     435
   1191     971     601     402
   1193     904     602     402
   1195     837     603     402
   1197     804     604     402
   1199     904     605     402
   1201     971     606     402
   1203     971     607     402
   1205     938     608     402
   1207     904     609     402
   1209     904     610     368
   1211     938     611     368
   1213    1038     612     402
   1215    1038     613     368
   1217    1005     614     368
   1219    1038     615     368
   1221    1005     616     368
   1223    1005     617     402
   1225     938     618     402
   1227     871     619     368
   1229     837     620     368
   1231     804     621     368
   1233     837     622     368
   1235     938     623     368
   1237     971     624     335
   1239     904     625     335
   1241     904     626     335
   1243     871     627     335
   1245     837     628     335
   1247     837     629     335
   1249     804     630     335
   1251     737     631     301
   1253     770     632     301
   1255     804     633     301
   1257     770     634     301
   1259     770     635     301
   1261     770     636     301
   1263     737     637     301
   1265     770     638     301
   1267     804     639     301
   1269     703     640     301
   1271     703     641     268
   1273     703     642     268
   1275     737     643     234
   1277     703     644     268
   1279     770     645     268
   1281     670     646     268
   1283     737     647     301
   1285     770     648     301
   1287     770     649     301
   1289     737     650     301
   1292     737     651     301
   1294     804     652     301
   1296     837     653     301
   1298     871     654     268
   1300     770     655     268
   1302     770     656     268
   1303     804     657     234
   1305     804     658     234
   1308     770     659     234
   1310     670     660     234
   1312     670     661     234
   1314     636     662     268
   1316     603     663     268
   1318     569     664     301
   1320     569     665     268
   1322     636     666     268
   1324     636     667     268
   1326     670     668     268
   1328     670     669     268
   1330     636     670     268
   1332     636     671     234
   1334     636     672     234
   1336     636     673     234
   1338     670     674     268
   1340     703     675     234
   1342     670     676     268
   1344     670     677     201
   1346     737     678     201
   1348     737     679     234
   1350     737     680     234
   1352     737     681     234
   1354     670     682     234
   1356     636     683     234
   1358     603     684     234
   1360     536     685     268
   1362     536     686     268
   1364     603     687     268
   1366     636     688     268
   1368     636     689     301
   1370     636     690     301
   1372     670     691     268
   1374     670     692     268
   1376     636     693     234
   1378     603     694     301
   1380     636     695     301
   1382     603     696     301
   1384     603     697     301
   1386     569     698     301
   1388     603     699     335
   1390     703     700     335
   1392     737     701     335
   1394     703     702     301
   1396     737     703     268
   1398     737     704     268
   1400     770     705     268
   1402     737     706     201
   1404     670     707     167
   1406     670     708     201
   1408     670     709     201
   1410     569     710     167
   1412     536     711     167
   1414     502     712     201
   1416     469     713     234
   1418     435     714     234
   1420     435     715     234
   1422     469     716     234
   1424     502     717     234
   1426     536     718     234
   1428     603     719     201
   1430     603     720     201
   1432     569     721     167
   1434     536     722     167
   1436     603     723     201
   1438     670     724     201
   1440     636     725     201
   1442     603     726     234
   1444     569     727     234
   1446     502     728     268
   1448     502     729     301
   1450     469     730     301
   1452     536     731     301
   1454     502     732     268
   1456     469     733     268
   1459     435     734     301
   1461     368     735     301
   1463     335     736     301
   1465     368     737     301
   1467     368     738     268
   1469     368     739     268
   1470     335     740     301
   1472     368     741     368
   1475     402     742     368
   1477     435     743     368
   1479     502     744     368
   1481     569     745     335
   1483     603     746     301
   1485     569     747     301
   1487     536     748     301
   1489     502     749     301
   1491     368     750     234
   1493     301     751     201
   1495     301     752     201
   1497     301     753     201
   1499     335     754     201
   1501     335     755     234
   1503     301     756     234
   1505     335     757     234
   1507     301     758     234
   1509     335     759     268
   1511     335     760     234
   1513     368     761     201
   1515     368     762     201
   1517     368     763     167
   1519     301     764     134
   1521     402     765     134
   1523     502     766     100
   1525     636     767     100
   1527     737     768     100
   1529     904     769     134
   1531    1072     770     167
   1533    1340     771     201
   1535    1407     772     201
   1537    1507     773     201
   1539    1608     774     201
   1541    1608     775     201
   1543    1373     776     201
   1545    1172     777     167
   1547    1005     778     134
   1549     938     779     134
   1551     703     780     134
   1553     569     781     134
   1555     536     782     134
   1557     402     783     134
   1559     335     784     167
   1561     201     785     167
   1563     201     786     134
   1565     234     787     134
   1567     301     788     134
   1569     368     789     134
   1571     335     790     100
   1573     301     791     100
   1575     201     792     100
   1577     201     793     134
   1579     167     794     134
   1581     201     795     134
   1583     234     796     167
   1585     234     797     201
   1587     268     798     167
   1589     268     799     167
   1592     301     800     167
   1594     234     801     167
   1596     234     802     167
   1598     234     803     167
   1600     234     804     167
   1601     268     805     167
   1603     234     806     167
   1606     268     807     167
   1608     234     808     134
   1610     301     809     100
   1612     335     810    67,0
   1614     335     811    67,0
   1616     268     812    33,5
   1618     234     813     100
   1620     201     814     100
   1622     234     815     100
   1624     268     816     100
   1626     301     817     134
   1628     335     818     134
   1630     335     819     134
   1632     335     820     134
   1634     335     821     134
   1636     301     822     100
   1638     268     823     100
   1640     301     824     167
   1642     301     825     167
   1644     301     826     167
   1646     301     827     201
   1648     335     828     234
   1650     234     829     268
   1652     201     830     335
   1654     234     831     368
   1656     234     832     402
   1658     335     833     435
   1660     402     834     469
   1662     502     835     502
   1664     435     836     502
   1666     368     837     502
   1668     268     838     502
   1670     234     839     536
   1672     234     840     569
   1674     268     841     569
   1676     268     842     502
   1678     268     843     435
   1680     301     844     402
   1682     301     845     368
   1684     301     846     335
   1686     234     847     268
   1688     167     848     234
   1690     100     849     201
   1692     134     850     167
   1694     167     851     167
   1696     201     852     201
   1698     301     853     167
   1700     469     854     167
   1702     536     855     201
   1704     569     856     201
   1706     435     857     201
   1708     234     858     167
   1710     201     859     134
   1712     234     860     100
   1714     201     861    67,0
   1716     167     862    67,0
   1718     167     863    67,0
   1721     134     864    67,0
   1723     167     865    67,0
   1725     201     866     100
   1727     234     867     134
   1729     201     868     134
   1731     167     869     167
   1733     167     870     167
   1735     167     871     167
   1737     201     872     167
   1739     234     873     134
   1741     234     874     134
   1743     234     875     100
   1745     234     876    67,0
   1747     234     877    67,0
   1749     167     878    67,0
   1751     167     879    67,0
   1753     167     880    67,0
   1755     134     881    67,0
   1757     134     882     100
   1759     167     883     100
   1761     167     884     100
   1763     167     885     100
   1765     201     886     100
   1767     167     887     100
   1769     167     888     100
   1771     134     889     134
   1773     134     890     134
   1775     100     891     134
   1777    67,0     892     100
   1779     100     893     100
   1781     201     894    67,0
   1783     201     895    67,0
   1785     201     896     100
   1787     167     897     134
   1789     167     898     167
   1791     134     899     268
   1793     134     900     603
   1803     201     905    67,0
   1813     201     910     100
   1823     167     915    33,5
   1833     100     920    67,0
   1843     100     925     100
   1853     134     930    67,0
   1864     167     935     100
   1873     201     940    33,5
   1884     134     945     100
   1894     100     950    67,0
   1904     201     955    33,5
   1914     167     960    33,5
   1924     134     965     100
   1934     469     970     100
   1944     234     975    33,5
   1954     134     980    33,5
   1964     134     985    67,0
   1974     134     990    67,0
   1984     100     995    67,0
