25.10.2018   N1108
Образец: "Chinese_Precise"
LiF200
Трубка: "40,0/0,100"
        Отр1            Отр2
   [мА]  [Имп/с]   [мА]  [Имп/с]
    795    2958     407     202
    800    3227     409     202
    805    3159     411     168
    810    3025     414     168
    815    2891     416     134
    820    2756     419     134
    825    2756     421     134
    830    2823     424     168
    835    2991     426     168
    840    2823     429     202
    845    2823     431     202
    850    2958     433     235
    855    2924     436     235
    860    2723     438     202
    865    2454     441     168
    870    1882     443     134
    875    1244     446     101
    880     773     448    67,2
    885     504     451    67,2
    890     538     453    67,2
    895     706     456    67,2
    900     874     458    33,6
    904    2226     460     234
    906    2301     461     238
    908    2157     462     217
    910    2199     463     230
    912    2285     464     234
    914    2205     465     220
    916    2194     466     241
    919    2116     467     280
    921    2095     468     276
    923    2142     469     273
    925    2155     470     289
    927    2183     471     279
    929    2200     472     286
    931    2139     473     283
    933    2018     474     289
    935    2069     475     291
    937    1992     476     287
    939    2040     477     318
    941    2116     478     312
    943    2097     479     334
    945    1967     480     331
    947    1988     481     329
    949    2080     482     348
    951    1986     483     374
    953    1979     484     363
    955    2033     485     357
    957    2047     486     357
    959    1944     487     375
    962    1908     488     368
    964    1903     489     372
    966    1929     490     382
    968    1961     491     375
    970    1875     492     367
    972    1899     493     332
    974    1825     494     411
    976    1900     495     388
    978    1867     496     385
    980    1801     497     356
    982    1939     498     369
    984    1909     499     378
    986    1884     500     385
    988    1837     501     390
    990    1737     502     400
    992    1783     503     408
    994    1820     504     363
    996    1791     505     384
    998    1737     506     353
   1000    1723     507     352
   1002    1696     508     312
   1004    1738     509     338
   1006    1702     510     327
   1008    1753     511     326
   1010    1620     512     329
   1012    1597     513     291
   1014    1587     514     296
   1017    1674     515     313
   1019    1648     516     313
   1021    1629     517     294
   1023    1623     518     284
   1025    1579     519     285
   1027    1562     520     305
   1029    1564     521     327
   1031    1539     522     326
   1033    1494     523     322
   1035    1590     524     292
   1037    1562     525     308
   1039    1458     526     310
   1041    1463     527     282
   1043    1493     528     337
   1045    1426     529     323
   1047    1498     530     338
   1049    1415     531     308
   1051    1476     532     331
   1053    1423     533     328
   1055    1444     534     325
   1057    1339     535     346
   1059    1386     536     363
   1062    1438     537     343
   1064    1414     538     322
   1066    1392     539     363
   1067    1406     540     340
   1069    1359     541     362
   1072    1285     542     327
   1074    1354     543     323
   1076    1350     544     359
   1078    1314     545     374
   1080    1267     546     366
   1082    1322     547     376
   1084    1299     548     383
