Время	Канал A
(uс)	(В)

-10.25698202	0.01464888
-10.23698202	0.00570696
-10.21698202	0.00570696
-10.19698202	0.01464888
-10.17698202	0.01464888
-10.15698202	0.01464888
-10.13698202	0.01464888
-10.11698202	0.01464888
-10.09698202	0.00570696
-10.07698202	0.00570696
-10.05698202	0.01464888
-10.03698202	0.01464888
-10.01698202	0.00570696
-9.99698202	0.01464888
-9.97698202	0.01464888
-9.95698202	0.00570696
-9.93698202	0.01464888
-9.91698202	0.01464888
-9.89698203	0.01464888
-9.87698203	0.01464888
-9.85698203	0.01464888
-9.83698203	0.01464888
-9.81698203	0.00570696
-9.79698203	0.01464888
-9.77698203	0.00570696
-9.75698203	0.01464888
-9.73698203	0.01464888
-9.71698203	0.00570696
-9.69698203	0.01464888
-9.67698203	0.00570696
-9.65698203	0.00570696
-9.63698203	0.01464888
-9.61698203	0.00570696
-9.59698203	0.01464888
-9.57698203	0.01464888
-9.55698203	0.00570696
-9.53698203	0.01464888
-9.51698203	0.01464888
-9.49698203	0.01464888
-9.47698203	0.01464888
-9.45698203	0.00570696
-9.43698203	0.01464888
-9.41698203	0.01464888
-9.39698203	0.01464888
-9.37698203	0.01464888
-9.35698203	0.00570696
-9.33698203	0.01464888
-9.31698203	0.01464888
-9.29698203	0.01464888
-9.27698203	0.01464888
-9.25698203	0.01464888
-9.23698203	0.01464888
-9.21698203	0.01464888
-9.19698203	0.01464888
-9.17698203	0.01464888
-9.15698203	0.01464888
-9.13698203	0.01464888
-9.11698203	0.01464888
-9.09698203	0.01464888
-9.07698203	0.01464888
-9.05698203	0.01464888
-9.03698203	0.01464888
-9.01698203	0.01464888
-8.99698203	0.01464888
-8.97698203	0.01464888
-8.95698203	0.01464888
-8.93698203	0.01464888
-8.91698203	0.01464888
-8.89698203	0.00570696
-8.87698203	0.01464888
-8.85698203	0.01464888
-8.83698203	0.01464888
-8.81698203	0.01464888
-8.79698203	0.01464888
-8.77698203	0.01464888
-8.75698203	0.01464888
-8.73698203	0.01464888
-8.71698203	0.01464888
-8.69698203	0.01464888
-8.67698203	0.01464888
-8.65698203	0.01464888
-8.63698203	0.01464888
-8.61698203	0.01464888
-8.59698203	0.01464888
-8.57698203	0.01464888
-8.55698203	0.01464888
-8.53698203	0.01464888
-8.51698203	0.01464888
-8.49698203	0.01464888
-8.47698203	0.01464888
-8.45698203	0.00570696
-8.43698203	0.01464888
-8.41698203	0.01464888
-8.39698203	0.01464888
-8.37698203	0.01464888
-8.35698203	0.01464888
-8.33698203	0.01464888
-8.31698203	0.01464888
-8.29698203	0.01464888
-8.27698203	0.01464888
-8.25698203	0.01464888
-8.23698204	0.01464888
-8.21698204	0.01464888
-8.19698204	0.01464888
