Время,Канал A
(uс),(В)

-10.25314941,0.01464888
-10.23314941,0.01464888
-10.21314941,0.01464888
-10.19314941,0.01464888
-10.17314941,0.01464888
-10.15314941,0.01464888
-10.13314941,0.01464888
-10.11314941,0.01464888
-10.09314941,0.01464888
-10.07314941,0.00570696
-10.05314941,0.01464888
-10.03314941,0.01464888
-10.01314941,0.01464888
-9.99314941,0.01464888
-9.97314941,0.01464888
-9.95314941,0.01464888
-9.93314941,0.01464888
-9.91314941,0.01464888
-9.89314941,0.01464888
-9.87314941,0.00570696
-9.85314941,0.00570696
-9.83314941,0.00570696
-9.81314941,0.01464888
-9.79314941,0.00570696
-9.77314942,0.01464888
-9.75314942,0.01464888
-9.73314942,0.01464888
-9.71314942,0.01464888
-9.69314942,0.01464888
-9.67314942,0.01464888
-9.65314942,0.01464888
-9.63314942,0.01464888
-9.61314942,0.01464888
-9.59314942,0.01464888
-9.57314942,0.01464888
-9.55314942,0.01464888
-9.53314942,0.01464888
-9.51314942,0.00570696
-9.49314942,0.01464888
-9.47314942,0.01464888
-9.45314942,0.01464888
-9.43314942,0.01464888
-9.41314942,0.01464888
-9.39314942,0.01464888
-9.37314942,0.01464888
-9.35314942,0.01464888
-9.33314942,0.01464888
-9.31314942,0.01464888
-9.29314942,0.01464888
-9.27314942,0.00570696
-9.25314942,0.00570696
-9.23314942,0.01464888
-9.21314942,0.01464888
-9.19314942,0.01464888
-9.17314942,0.01464888
-9.15314942,0.00570696
-9.13314942,0.01464888
-9.11314942,0.00570696
-9.09314942,0.00570696
-9.07314942,0.01464888
-9.05314942,0.00570696
-9.03314942,0.01464888
-9.01314942,0.01464888
-8.99314942,0.01464888
-8.97314942,0.00570696
-8.95314942,0.01464888
-8.93314942,0.00570696
-8.91314942,0.00570696
-8.89314942,0.01464888
-8.87314942,0.00570696
-8.85314942,0.00570696
-8.83314942,0.00570696
-8.81314942,0.00570696
-8.79314942,0.01464888
-8.77314942,0.01464888
-8.75314942,0.00570696
-8.73314942,0.00570696
-8.71314942,0.00570696
-8.69314942,0.01464888
-8.67314942,0.01464888
-8.65314942,0.01464888
-8.63314942,0.01464888
-8.61314942,0.01464888
-8.59314942,0.00570696
-8.57314942,0.00570696
-8.55314942,0.00570696
-8.53314942,0.00570696
-8.51314942,0.00570696
-8.49314942,0.00570696
-8.47314942,0.01464888
-8.45314942,0.00570696
-8.43314942,0.00570696
-8.41314942,0.00570696
-8.39314942,0.01464888
-8.37314942,0.00570696
-8.35314942,0.00570696
-8.33314942,0.00570696
-8.31314942,0.00570696
-8.29314942,0.00570696
-8.27314942,0.01464888
-8.25314942,0.00570696
-8.23314942,0.00570696
-8.21314942,0.00570696
-8.19314942,0.00570696
