25.10.2018   N1108
Образец: "23_V"
LiF200
Трубка: "40.0/0.100"
        Отр1            Отр2
   [мА]  [Имп/с]   [мА]  [Имп/с]
    795    2321     407     0.0
    800    1110     409    67.3
    805    1110     411     101
    810    1278     414     101
    815    1312     416     101
    820    1480     419     101
    825    1312     421    67.3
    830     942     424    67.3
    835     706     426    67.3
    840     841     429    67.3
    845     975     431    33.6
    850    1076     433    33.6
    855    1110     436    67.3
    860    1110     438    67.3
    865    1043     441    67.3
    870     807     443    67.3
    875     740     446    67.3
    880     673     448    67.3
    885     673     451    67.3
    890     774     453    67.3
    895     874     456     101
    900     841     458     101
    905     740     460     101
    910     605     463    67.3
    915     505     465    67.3
    920     639     468    67.3
    925     673     470    67.3
    930     740     473    67.3
    935     740     475     101
    940     774     477     101
    945     706     480     101
    950     572     482     101
    955     505     485     101
    960     605     487     101
    965     639     490     135
    970     706     492     168
    975     908     495     202
    980    1043     497     235
    985    1244     500     269
    990    1379     502     303
    995    1312     504     303
   1000    1480     507     303
   1005    1345     509     269
   1010    1379     512     235
   1015    1244     514     235
   1020    1009     517     202
   1025    1110     519     202
   1030    1211     522     235
   1035    1345     524     269
   1040    1446     526     269
   1045    1278     529     269
   1050    1144     531     269
   1055    1076     534     269
   1060    1043     536     269
   1065    1110     539     269
   1070    1076     541     303
   1075    1009     544     303
   1080     942     546     303
   1085     975     549     336
   1090     975     551     336
   1095     975     554     370
   1100    1043     556     404
   1105    1076     558     437
   1110    1076     561     471
   1115    1043     563     437
   1120     841     566     404
   1125     874     568     370
   1130     874     571     370
   1135     908     573     336
   1140     807     576     336
   1145     841     578     370
   1150     841     581     404
   1155     908     583     404
   1160     975     586     370
   1165     942     588     404
   1170     841     591     370
   1175     740     593     370
   1180     874     596     336
   1185     874     598     404
   1190     942     601     404
   1195     841     603     437
   1200     908     605     404
   1205     807     608     404
   1210     605     611     336
   1215     605     613     303
   1220     639     615     303
   1225     538     618     269
   1230     538     620     235
   1235     639     623     202
   1240     740     625     168
   1245     673     628     202
   1250     572     630     202
   1255     538     633     168
   1260     673     635     168
   1265     706     638     168
   1270     538     640     168
   1275     404     643     202
   1280     471     645     202
   1285     538     648     168
   1290     471     650     168
   1295     471     653     135
   1300     471     655     135
   1305     505     658     101
   1310     471     660     135
   1315     471     663     168
   1320     538     665     168
   1325     404     668     202
   1330     404     670     202
   1335     505     673     202
   1340     505     675     168
   1345     404     678     168
   1350     235     680     101
   1355     336     683     135
   1360     572     685     135
   1365     505     688     101
   1370     370     690     101
   1375     336     692     101
   1380     404     695     135
   1385     471     697     135
   1390     605     700     135
   1395     605     702     135
   1400     437     705     135
   1405     471     707     135
   1410     437     710     168
   1415     303     712     168
   1420     336     715     135
   1425     437     717     135
   1430     370     720     135
   1435     437     722     168
   1440     437     725     168
   1445     303     727     135
   1450     303     730     168
   1455     269     732     168
   1460     235     735     168
   1465     303     737     202
   1470     437     740     168
   1475     370     742     135
   1480     269     745     135
   1485     202     747     135
   1490     202     750     168
   1495     303     752     168
   1500     303     755     168
   1505     269     757     168
   1510     269     760     135
   1515     235     762     101
   1520     235     765     101
   1525     269     767     101
   1530     471     770     101
   1535     975     772     101
   1540    1009     774     135
   1545     740     777     135
   1550     706     779     101
   1555     538     782     101
   1560     370     784     101
   1565     370     787    67.3
   1570     370     789    67.3
   1575     370     792     101
   1580     135     794     168
   1585     235     797     135
   1590     336     799     101
   1595     303     802     101
   1600     235     804     101
   1605     168     807     135
   1610     168     809     168
   1615     168     812     135
   1620     135     814     135
   1625     135     817     135
   1630     168     819     135
   1635     269     822     101
   1640     168     824    67.3
   1645     202     827     101
   1650     303     829     135
   1655     303     832     135
   1660     303     834    33.6
