25.10.2018   N1108
Образец: "C:\Documents and Settings\student\Рабочий стол\PhysLab5\24_Cr"
LiF200
Трубка: "40.0/0.100"
        Отр1            Отр2
   [мА]  [Имп/с]   [мА]  [Имп/с]
    795    2655     407     0.0
    800    1647     409    33.6
    805    2050     411    67.2
    810    2454     414     101
    815    2554     416     101
    820    2622     419     101
    825    1983     421    67.2
    830    1378     424    67.2
    835     874     426    67.2
    840     975     429    67.2
    845    1143     431    33.6
    850    1378     433    67.2
    855    1412     436    67.2
    860    1378     438    67.2
    865    1277     441    67.2
    870    1109     443    67.2
    875     941     446    67.2
    880     941     448    67.2
    885     975     451    67.2
    890    1143     453    67.2
    895    1244     456    67.2
    900    1210     458    67.2
    905    1143     460    67.2
    910    1042     463    67.2
    915     975     465    67.2
    920     941     468    33.6
    925    1008     470    67.2
    930    1042     473    67.2
    935    1109     475    67.2
    940    1008     477    67.2
    945     874     480    67.2
    950     807     482     101
    955     840     485     134
    960     874     487     168
    965    1176     490     235
    970    1647     492     303
    975    1949     495     336
    980    2185     497     370
    985    2050     500     403
    990    1983     502     370
    995    2118     504     370
   1000    2151     507     336
   1005    2185     509     336
   1010    2151     512     303
   1015    1949     514     303
   1020    1849     517     303
   1025    1748     519     269
   1030    1849     522     269
   1035    1983     524     235
   1040    2050     526     235
   1045    2050     529     303
   1050    1983     531     269
   1055    1849     534     303
   1060    1781     536     303
   1065    1647     539     370
   1070    1546     541     370
   1075    1479     544     370
   1080    1479     546     370
   1085    1445     549     336
   1090    1412     551     370
   1095    1344     554     336
   1100    1311     556     336
   1105    1344     558     370
   1110    1445     561     403
   1115    1513     563     437
   1120    1344     566     437
   1125    1176     568     471
   1130    1076     571     437
   1135    1076     573     403
   1140    1344     576     403
   1145    1546     578     437
   1150    1479     581     504
   1155    1311     583     571
   1160    1143     586     605
   1165    1445     588     672
   1170    1681     591     672
   1175    1748     593     672
   1180    1781     596     672
   1185    1714     598     706
   1190    1412     601     706
   1195    1109     603     639
   1200    1008     605     605
   1205    1109     608     538
   1210     908     611     538
   1215     908     613     504
   1220     941     615     471
   1225     941     618     403
   1230     807     620     336
   1235     706     623     303
   1240     840     625     269
   1245     908     628     269
   1250     908     630     303
   1255     706     633     303
   1260     672     635     303
   1265     706     638     269
   1270     975     640     235
   1275     908     643     202
   1280     874     645     168
   1285     706     648     235
   1290     639     650     235
   1295     672     653     269
   1300     672     655     235
   1305     571     658     202
   1310     571     660     202
   1315     672     663     202
   1320     672     665     235
   1325     639     668     235
   1330     538     670     202
   1335     605     673     202
   1340     706     675     269
   1345     639     678     235
   1350     605     680     235
   1355     504     683     202
   1360     437     685     168
   1365     672     688     202
   1370     605     690     235
   1375     504     692     202
   1380     538     695     202
   1385     706     697     168
   1390     773     700     235
   1395     639     702     235
   1400     504     705     269
   1405     471     707     202
   1410     504     710     168
   1415     504     712     134
   1420     471     715     134
   1425     303     717     168
   1430     437     720     168
   1435     605     722     168
   1440     571     725     101
   1445     403     727     168
   1450     403     730     168
   1455     571     732     168
   1460     437     735     202
   1465     403     737     134
   1470     370     740     101
   1475     370     742     101
   1480     370     745     134
   1485     403     747     168
   1490     403     750     168
   1495     336     752     202
   1500     437     755     202
   1505     471     757     202
   1510     303     760     134
   1515     269     762     134
   1520     269     765     168
   1525     504     767     168
   1530     605     770     168
   1535     739     772     168
   1540    1042     774     168
   1545     941     777     168
   1550     773     779     235
   1555     504     782     202
   1560     437     784     168
   1565     403     787     168
   1570     403     789     202
   1575     370     792     202
   1580     403     794     168
   1585     370     797     134
   1590     168     799     134
   1595     303     802     134
   1600     303     804     134
   1605     202     807     202
   1610     134     809     202
   1615     202     812     168
   1620     269     814     134
   1625     235     817     134
   1630     235     819     101
   1635     269     822     101
   1640     202     824     101
   1645     202     827     134
   1650     269     829     168
   1655     235     832     168
   1660     235     834     101
   1665     303     836     101
   1670     202     839     134
   1675     101     841     134
   1680     235     844     168
   1685     235     846     168
   1690     134     849     168
   1695     168     851     101
   1700     101     854     101
   1705     168     856     134
   1710     202     859     134
   1715     134     861     101
   1720     134     864     101
   1725     235     866     101
   1730     202     869     134
   1735     134     871     101
   1740     168     874     101
   1745     403     876     168
   1750     672     879     134
   1755     908     881     168
   1760     840     884     168
   1765     471     886     202
   1770     269     889     101
   1775     168     891     134
   1780     202     894     168
   1785     202     896     134
   1790    67.2     899     101
   1795     134     901     134
   1800     168     903     168
   1805     168     906     134
   1810     101     908     101
   1815     168     911     101
   1820     101     913     134
   1825    67.2     916     101
   1830     168     918    67.2
   1835     101     921     101
   1840     202     923     101
   1845     168     926     101
   1850     101     928    67.2
   1855    67.2     931     101
   1860     168     933    67.2
   1865     134     936     101
   1870     134     938     101
   1875     202     941    67.2
   1880     168     943    67.2
   1885     101     946     101
   1890     134     948     101
   1895     168     951    67.2
   1900     134     953     101
   1905    67.2     956     101
   1910     134     958     101
   1915     168     961    67.2
   1920     303     963    33.6
   1925    1176     966    33.6
   1930    2588     968    67.2
   1935    3395     970    33.6
   1940    2790     973    33.6
   1945    1344     976    67.2
   1950     269     978     101
   1955     168     980    67.2
   1960     101     983     0.0
   1965     134     985    67.2
   1970    67.2     988    67.2
   1975    67.2     990    33.6
   1980    67.2     993    33.6
   1985    67.2     995    67.2
   1990     134     998    67.2
   1995     168    1000     101
   2000     101    1003     101
   2005    67.2    1005    33.6
   2010     202    1008    67.2
   2015    67.2    1010    67.2
   2020     101    1013    67.2
   2025    33.6    1015    67.2
   2030     134    1018    67.2
   2035     101    1020    67.2
   2040     134    1023    67.2
   2045     134    1025    67.2
   2050    99.0    1028    61.0
   2051     120    1028    52.0
   2052     114    1029    57.0
   2053     133    1029    45.0
   2054     138    1030    70.0
   2055     147    1030    58.0
   2056     151    1031    64.0
   2057     161    1031    63.0
   2058     185    1032    71.0
   2059     225    1032    71.0
   2060     271    1033    59.0
   2061     338    1033    56.0
   2062     394    1034    57.0
   2063     467    1034    57.0
   2064     556    1035    42.0
   2065     673    1035    55.0
   2066     762    1036    58.0
   2067     817    1036    56.0
   2068    1021    1037    63.0
   2069    1066    1037    56.0
   2070    1266    1038    57.0
   2071    1568    1038    75.0
   2072    2066    1039    55.0
   2073    2878    1039    64.0
   2074    3946    1040    46.0
   2075    5229    1040    51.0
   2076    6801    1041    83.0
   2077    8643    1041    79.0
   2078   10329    1042    82.0
   2079   12403    1042    93.0
   2080   14287    1043    90.0
   2081   15637    1043     112
   2082   16884    1043     133
   2083   17894    1044     143
   2084   18663    1044     139
   2085   19409    1045     161
   2086   19452    1046     143
   2087   18965    1046     159
   2088   18178    1047     126
   2089   17012    1047     137
   2090   15587    1048     121
   2091   13500    1048     124
   2092   11484    1049     100
   2093    9320    1049    75.0
   2094    7510    1050    68.0
   2095    5972    1050    56.0
   2096    4615    1051    58.0
   2097    3744    1051    70.0
   2098    2999    1051    50.0
   2099    2098    1052    52.0
   2100    1672    1052    41.0
   2101    1365    1053    62.0
   2102    1086    1053    64.0
   2103     867    1054    55.0
   2104     743    1054    63.0
   2105     649    1055    59.0
   2106     638    1055    66.0
   2107     596    1056    54.0
   2108     575    1056    78.0
   2109     576    1057    67.0
   2110     567    1057    67.0
   2115     437    1060    67.2
   2120     437    1062    67.2
   2125     303    1065    33.6
   2130     403    1067    33.6
   2135     101    1070    33.6
   2140     269    1072    33.6
   2145     336    1075    33.6
   2150     134    1077    33.6
   2155     303    1080    33.6
   2160     134    1082    33.6
   2165     202    1085    33.6
   2170     168    1087     0.0
   2175     134    1090     0.0
   2180     168    1092    33.6
   2185     101    1095    67.2
   2190     134    1097    33.6
   2195     101    1100    67.2
   2200     269    1102    67.2
   2205     168    1105    33.6
   2210     134    1107    67.2
   2215    67.2    1110    67.2
   2220     101    1112     0.0
   2225     101    1115    67.2
   2230     235    1117    67.2
   2235     134    1119    33.6
   2240     134    1122    67.2
   2245     168    1125    33.6
   2250     202    1127    33.6
   2255     437    1129     101
   2260     168    1132     101
   2265     269    1134    67.2
   2270     745    1137    38.0
   2271     834    1137    43.0
   2272     910    1138    30.0
   2273    1135    1138    33.0
   2274    1264    1139    31.0
   2275    1592    1139    34.0
   2276    1938    1140    49.0
   2277    2806    1140    39.0
   2278    4364    1141    46.0
   2279    6529    1141    44.0
   2280   10346    1142    60.0
   2281   15197    1142     106
   2282   21890    1143     139
   2283   29463    1143     263
   2284   37966    1144     439
   2285   46147    1144     591
   2286   54861    1145     765
   2287   63224    1145    1041
   2288   69613    1146    1255
   2289   74966    1146    1487
   2290   78458    1147    1641
   2291   79554    1147    1638
   2292   79112    1148    1715
   2293   76762    1148    1524
   2294   72129    1149    1325
   2295   64953    1149    1123
   2296   56388    1150     861
   2297   47037    1150     575
   2298   37291    1151     378
   2299   29398    1151     252
   2300   21863    1152     148
   2301   15541    1152    94.0
   2302   10588    1153    64.0
   2303    7254    1153    47.0
   2304    4845    1154    39.0
   2305    3168    1154    35.0
   2306    2074    1155    32.0
   2307    1449    1155    26.0
   2308    1136    1156    32.0
   2309     788    1156    36.0
   2310     709    1157    35.0
   2315     403    1159    33.6
   2320     303    1162     0.0
   2325     269    1164     0.0
   2330     235    1167    33.6
   2335     202    1169     101
   2340     134    1172    67.2
   2345     134    1174    67.2
   2350     134    1177     101
   2355    67.2    1179     134
   2360     235    1182    67.2
   2365     101    1184     0.0
   2370     168    1187    67.2
   2375     269    1189    33.6
   2380    67.2    1192     0.0
   2385     101    1194    67.2
   2390    67.2    1197     0.0
   2395     0.0    1199     0.0
   2400    67.2    1202    67.2
   2405    33.6    1204     0.0
   2410     168    1207    67.2
   2415    33.6    1209    33.6
   2420     0.0    1212     0.0
   2425    67.2    1214    33.6
   2430     0.0    1216     0.0
   2435    67.2    1219    33.6
   2440     0.0    1221     0.0
   2445    33.6    1224     0.0
   2450     134    1226     0.0
   2455     101    1229    33.6
   2460    33.6    1231    67.2
   2465    33.6    1234     0.0
   2470     0.0    1236    33.6
   2475    33.6    1239     0.0
   2480     101    1241    33.6
   2485     0.0    1244     0.0
   2490     101    1246    33.6
   2495    33.6    1249     0.0
   2500     0.0    1251     0.0
   2505    67.2    1254     0.0
   2510    33.6    1256    33.6
   2515    67.2    1259    33.6
   2520     0.0    1261    33.6
   2525    67.2    1264     0.0
   2530    33.6    1266    33.6
   2535    33.6    1269     0.0
   2540    33.6    1271    33.6
   2545    33.6    1274    67.2
   2550    33.6    1276     0.0
   2555    33.6    1279     101
   2560    67.2    1281     0.0
   2565    33.6    1284    33.6
   2570     0.0    1286    33.6
   2575     0.0    1289     0.0
   2580     0.0    1291    33.6
   2585     0.0    1294     0.0
   2590    33.6    1296    33.6
   2595     0.0    1299    33.6
   2600     0.0    1301    33.6
   2605    33.6    1304     0.0
   2610     0.0    1306     0.0
   2615    67.2    1309     0.0
   2620    33.6    1311     0.0
   2625    67.2    1314    67.2
   2630    33.6    1316    67.2
   2635     0.0    1319     0.0
   2640     0.0    1321     0.0
   2645    67.2    1324     0.0
   2650     0.0    1326    33.6
   2655     101    1328    33.6
   2660     0.0    1331     0.0
   2665     0.0    1333    33.6
   2670     0.0    1336     0.0
   2675    67.2    1338     0.0
   2680    33.6    1341     0.0
   2685    67.2    1343    33.6
   2690    67.2    1346     0.0
   2695    33.6    1348     0.0
   2700    33.6    1351    33.6
   2705     0.0    1353    67.2
   2710     0.0    1356    33.6
   2715     0.0    1358     0.0
   2720    33.6    1361    33.6
   2725     0.0    1363     0.0
   2730    33.6    1366     0.0
   2735    33.6    1368     0.0
   2740     0.0    1371     0.0
   2745     0.0    1373     0.0
   2750     0.0    1376    33.6
   2755     0.0    1378     0.0
   2760     0.0    1381    33.6
   2765     0.0    1383     0.0
   2770     0.0    1386     0.0
   2775    33.6    1388     0.0
   2780     0.0    1391    67.2
   2785     0.0    1393    33.6
   2790     0.0    1396    33.6
   2795     0.0    1398    33.6
   2800     0.0    1401     0.0
   2805    33.6    1403     0.0
   2810     0.0    1406     0.0
   2815     0.0    1408     0.0
   2820    33.6    1411    67.2
   2825     0.0    1413     0.0
   2830     0.0    1416     0.0
   2835    33.6    1418     0.0
   2840     0.0    1420     0.0
   2845     0.0    1423    33.6
   2850     0.0    1425    33.6
   2855    33.6    1428     0.0
   2860    33.6    1430     0.0
