Время	Канал A
(uс)	(В)

-10.24899120	0.00570696
-10.22899120	0.00570696
-10.20899120	0.01464888
-10.18899120	0.00570696
-10.16899120	0.00570696
-10.14899120	0.00570696
-10.12899120	0.01464888
-10.10899120	0.00570696
-10.08899120	0.00570696
-10.06899120	0.00570696
-10.04899120	0.00570696
-10.02899120	0.00570696
-10.00899120	0.00570696
-9.98899120	0.01464888
-9.96899120	0.00570696
-9.94899120	0.00570696
-9.92899120	0.01464888
-9.90899120	0.00570696
-9.88899120	0.00570696
-9.86899120	0.00570696
-9.84899120	0.01464888
-9.82899120	0.01464888
-9.80899121	0.00570696
-9.78899121	0.01464888
-9.76899121	0.01464888
-9.74899121	0.00570696
-9.72899121	0.01464888
-9.70899121	0.00570696
-9.68899121	0.01464888
-9.66899121	0.01464888
-9.64899121	0.00570696
-9.62899121	0.00570696
-9.60899121	0.01464888
-9.58899121	0.01464888
-9.56899121	0.00570696
-9.54899121	0.00570696
-9.52899121	0.01464888
-9.50899121	0.01464888
-9.48899121	0.00570696
-9.46899121	0.01464888
-9.44899121	0.00570696
-9.42899121	0.00570696
-9.40899121	0.01464888
-9.38899121	0.00570696
-9.36899121	0.00570696
-9.34899121	0.01464888
-9.32899121	0.01464888
-9.30899121	0.00570696
-9.28899121	0.01464888
-9.26899121	0.01464888
-9.24899121	0.00570696
-9.22899121	0.00570696
-9.20899121	0.00570696
-9.18899121	0.00570696
-9.16899121	0.01464888
-9.14899121	0.00570696
-9.12899121	0.01464888
-9.10899121	0.01464888
-9.08899121	0.01464888
-9.06899121	0.01464888
-9.04899121	0.00570696
-9.02899121	0.01464888
-9.00899121	0.00570696
-8.98899121	0.00570696
-8.96899121	0.01464888
-8.94899121	0.01464888
-8.92899121	0.01464888
-8.90899121	0.00570696
-8.88899121	0.00570696
-8.86899121	0.00570696
-8.84899121	0.01464888
-8.82899121	0.01464888
-8.80899121	0.00570696
-8.78899121	0.01464888
-8.76899121	0.01464888
-8.74899121	0.00570696
-8.72899121	0.01464888
-8.70899121	0.00570696
-8.68899121	0.00570696
-8.66899121	0.00570696
-8.64899121	0.01464888
-8.62899121	0.00570696
-8.60899121	0.00570696
-8.58899121	0.01464888
-8.56899121	0.00570696
-8.54899121	0.01464888
-8.52899121	0.01464888
-8.50899121	0.00570696
-8.48899121	0.01464888
-8.46899121	0.00570696
-8.44899121	0.00570696
-8.42899121	0.01464888
-8.40899121	0.00570696
-8.38899121	0.00570696
-8.36899121	0.00570696
-8.34899121	0.00570696
-8.32899121	0.00570696
-8.30899121	0.00570696
-8.28899121	0.00570696
-8.26899121	0.00570696
-8.24899121	0.00570696
-8.22899121	0.00570696
-8.20899121	0.01464888
-8.18899121	0.00570696
