Время,Канал A
(uс),(В)

-10.24043104,0.01464888
-10.22043104,0.01464888
-10.20043104,0.01464888
-10.18043104,0.01464888
-10.16043104,0.01464888
-10.14043104,0.00570696
-10.12043104,0.01464888
-10.10043104,0.01464888
-10.08043104,0.00570696
-10.06043104,0.01464888
-10.04043104,0.01464888
-10.02043104,0.00570696
-10.00043104,0.01464888
-9.98043104,0.01464888
-9.96043104,0.01464888
-9.94043104,0.01464888
-9.92043104,0.00570696
-9.90043104,0.00570696
-9.88043104,0.01464888
-9.86043104,0.01464888
-9.84043104,0.01464888
-9.82043104,0.01464888
-9.80043104,0.01464888
-9.78043104,0.00570696
-9.76043104,0.00570696
-9.74043104,0.01464888
-9.72043104,0.01464888
-9.70043104,0.01464888
-9.68043104,0.01464888
-9.66043104,0.01464888
-9.64043104,0.01464888
-9.62043104,0.01464888
-9.60043104,0.01464888
-9.58043104,0.01464888
-9.56043104,0.00570696
-9.54043104,0.00570696
-9.52043104,0.00570696
-9.50043104,0.00570696
-9.48043104,0.00570696
-9.46043104,0.01464888
-9.44043104,0.01464888
-9.42043104,0.01464888
-9.40043104,0.00570696
-9.38043104,0.00570696
-9.36043104,0.01464888
-9.34043104,0.01464888
-9.32043104,0.00570696
-9.30043104,0.01464888
-9.28043104,0.01464888
-9.26043104,0.00570696
-9.24043104,0.01464888
-9.22043104,0.01464888
-9.20043104,0.01464888
-9.18043104,0.00570696
-9.16043104,0.00570696
-9.14043104,0.01464888
-9.12043105,0.00570696
-9.10043105,0.00570696
-9.08043105,0.00570696
-9.06043105,0.00570696
-9.04043105,0.01464888
-9.02043105,0.00570696
-9.00043105,0.01464888
-8.98043105,0.01464888
-8.96043105,0.00570696
-8.94043105,0.00570696
-8.92043105,0.00570696
-8.90043105,0.00570696
-8.88043105,0.00570696
-8.86043105,0.00570696
-8.84043105,0.00570696
-8.82043105,0.00570696
-8.80043105,0.00570696
-8.78043105,0.01464888
-8.76043105,0.00570696
-8.74043105,0.01464888
-8.72043105,0.00570696
-8.70043105,0.00570696
-8.68043105,0.00570696
-8.66043105,0.00570696
-8.64043105,0.00570696
-8.62043105,0.00570696
-8.60043105,0.00570696
-8.58043105,0.01464888
-8.56043105,0.00570696
-8.54043105,0.00570696
-8.52043105,0.00570696
-8.50043105,0.00570696
-8.48043105,0.00570696
-8.46043105,0.00570696
-8.44043105,0.00570696
-8.42043105,0.00570696
-8.40043105,0.00570696
-8.38043105,0.00570696
-8.36043105,0.00570696
-8.34043105,0.00570696
-8.32043105,0.00570696
-8.30043105,0.00570696
-8.28043105,0.00570696
-8.26043105,0.00570696
-8.24043105,0.00570696
-8.22043105,0.00570696
-8.20043105,0.00570696
-8.18043105,0.00570696
