;?????: 0;????? : 1
00:00:00,000,000;0,2393;1,7236
00:00:00,000,100;0,2588;1,792
00:00:00,000,200;0,2686;1,853
00:00:00,000,300;0,2686;1,9214
00:00:00,000,400;0,2783;1,9727
00:00:00,000,500;0,2881;2,0508
00:00:00,000,600;0,3003;2,0898
00:00:00,000,700;0,3394;2,1509
00:00:00,000,800;0,3198;2,1997
00:00:00,000,900;0,3296;2,2607
00:00:00,001,000;0,3491;2,3096
00:00:00,001,100;0,3394;2,3706
00:00:00,001,200;0,3589;2,4194
00:00:00,001,300;0,3882;2,478
00:00:00,001,400;0,3784;2,5293
00:00:00,001,500;0,3687;2,5879
00:00:00,001,600;0,4077;2,6489
00:00:00,001,700;0,3882;2,7075
00:00:00,001,800;0,3979;2,7979
00:00:00,001,900;0,4175;2,8271
00:00:00,002,000;0,4175;2,9077
00:00:00,002,100;0,4175;2,937
00:00:00,002,200;0,459;2,9956
00:00:00,002,300;0,4297;3,0566
00:00:00,002,400;0,459;3,0957
00:00:00,002,500;0,459;3,1665
00:00:00,002,600;0,4492;3,2153
00:00:00,002,700;0,4883;3,2959
00:00:00,002,800;0,459;3,335
00:00:00,002,900;0,4785;3,3643
00:00:00,003,000;0,4688;3,4448
00:00:00,003,100;0,498;3,4839
00:00:00,003,200;0,498;3,5254
00:00:00,003,300;0,4785;3,5742
00:00:00,003,400;0,5176;3,6133
00:00:00,003,500;0,4883;3,6426
00:00:00,003,600;0,5078;3,6841
00:00:00,003,700;0,4883;3,7036
00:00:00,003,800;0,5078;3,7329
00:00:00,003,900;0,4883;3,7524
00:00:00,004,000;0,5078;3,7622
00:00:00,004,100;0,498;3,772
00:00:00,004,200;0,498;3,7842
00:00:00,004,300;0,4883;3,772
00:00:00,004,400;0,498;3,7622
00:00:00,004,500;0,459;3,7329
00:00:00,004,600;0,4883;3,7036
00:00:00,004,700;0,4688;3,6035
00:00:00,004,800;0,4883;3,5254
00:00:00,004,900;0,4785;3,4546
00:00:00,005,000;0,498;3,3838
00:00:00,005,100;0,4688;3,3252
00:00:00,005,200;0,4785;3,2349
00:00:00,005,300;0,459;3,1567
00:00:00,005,400;0,4395;3,0664
00:00:00,005,500;0,4492;2,9761
00:00:00,005,600;0,4785;2,8784
00:00:00,005,700;0,4395;2,7783
00:00:00,005,800;0,4492;2,688
00:00:00,005,900;0,4395;2,5879
00:00:00,006,000;0,4395;2,5
00:00:00,006,100;0,4395;2,4097
00:00:00,006,200;0,4395;2,3096
00:00:00,006,300;0,4175;2,1997
00:00:00,006,400;0,4077;2,1118
00:00:00,006,500;0,3979;1,9922
00:00:00,006,600;0,3979;1,8823
00:00:00,006,700;0,3784;1,7725
00:00:00,006,800;0,3784;1,6724
00:00:00,006,900;0,3979;1,5234
00:00:00,007,000;0,3979;1,4331
00:00:00,007,100;0,3882;1,3135
00:00:00,007,200;0,3979;1,2061
00:00:00,007,300;0,3882;1,0767
00:00:00,007,400;0,3979;0,9473
00:00:00,007,500;0,4077;0,8374
00:00:00,007,600;0,3979;0,708
00:00:00,007,700;0,4175;0,5981
00:00:00,007,800;0,4077;0,4688
00:00:00,007,900;0,4077;0,3491
00:00:00,008,000;0,4175;0,2197
00:00:00,008,100;0,4077;0,1001
00:00:00,008,200;0,4175;-0,0098
00:00:00,008,300;0,3882;-0,1294
00:00:00,008,400;0,4175;-0,249
00:00:00,008,500;0,4297;-0,3589
00:00:00,008,600;0,4077;-0,4761
00:00:00,008,700;0,4297;-0,5859
00:00:00,008,800;0,4395;-0,7056
00:00:00,008,900;0,4297;-0,8057
00:00:00,009,000;0,4297;-0,9155
00:00:00,009,100;0,3003;-1,0156
00:00:00,009,200;0,2197;-1,1133
00:00:00,009,300;0,0903;-1,2329
00:00:00,009,400;0,0513;-1,3135
00:00:00,009,500;0,0293;-1,4038
00:00:00,009,600;0;-1,4722
00:00:00,009,700;-0,0488;-1,5527
00:00:00,009,800;-0,0391;-1,5918
00:00:00,009,900;-0,0684;-1,6919
00:00:00,010,000;-0,0684;-1,7212
00:00:00,010,100;-0,1001;-1,8018
00:00:00,010,200;-0,1196;-1,8506
00:00:00,010,300;-0,1782;-1,9116
00:00:00,010,400;-0,1782;-1,9702
00:00:00,010,500;-0,188;-2,0288
00:00:00,010,600;-0,2295;-2,1094
00:00:00,010,700;-0,2295;-2,1484
00:00:00,010,800;-0,2588;-2,2095
00:00:00,010,900;-0,2783;-2,2583
00:00:00,011,000;-0,2881;-2,3291
00:00:00,011,100;-0,2979;-2,3682
00:00:00,011,200;-0,3174;-2,439
00:00:00,011,300;-0,3369;-2,5073
00:00:00,011,400;-0,3271;-2,5488
00:00:00,011,500;-0,3687;-2,6074
00:00:00,011,600;-0,3687;-2,666
00:00:00,011,700;-0,3979;-2,7271
00:00:00,011,800;-0,3882;-2,8076
00:00:00,011,900;-0,437;-2,8662
00:00:00,012,000;-0,3979;-2,8857
00:00:00,012,100;-0,4468;-2,9565
00:00:00,012,200;-0,437;-2,9956
00:00:00,012,300;-0,437;-3,0347
00:00:00,012,400;-0,4468;-3,0957
00:00:00,012,500;-0,437;-3,1543
00:00:00,012,600;-0,4175;-3,2056
00:00:00,012,700;-0,4663;-3,2642
00:00:00,012,800;-0,4272;-3,3252
00:00:00,012,900;-0,3979;-3,374
00:00:00,013,000;-0,4077;-3,4131
00:00:00,013,100;-0,4077;-3,4644
00:00:00,013,200;-0,4175;-3,5132
00:00:00,013,300;-0,3979;-3,562
00:00:00,013,400;-0,3687;-3,6035
00:00:00,013,500;-0,3882;-3,6426
00:00:00,013,600;-0,3687;-3,6621
00:00:00,013,700;-0,3687;-3,7134
00:00:00,013,800;-0,3687;-3,7329
00:00:00,013,900;-0,3589;-3,7622
00:00:00,014,000;-0,3369;-3,7524
00:00:00,014,100;-0,3467;-3,772
00:00:00,014,200;-0,3369;-3,7817
00:00:00,014,300;-0,3467;-3,772
00:00:00,014,400;-0,3784;-3,772
00:00:00,014,500;-0,3589;-3,7427
00:00:00,014,600;-0,3369;-3,7134
00:00:00,014,700;-0,3467;-3,6426
00:00:00,014,800;-0,3589;-3,5425
00:00:00,014,900;-0,3369;-3,4937
00:00:00,015,000;-0,3467;-3,3936
00:00:00,015,100;-0,3271;-3,3252
00:00:00,015,200;-0,3271;-3,2544
00:00:00,015,300;-0,3589;-3,1738
00:00:00,015,400;-0,3784;-3,0762
00:00:00,015,500;-0,3589;-2,9858
00:00:00,015,600;-0,3369;-2,9053
00:00:00,015,700;-0,3687;-2,7954
00:00:00,015,800;-0,3784;-2,7075
00:00:00,015,900;-0,3784;-2,6074
00:00:00,016,000;-0,3882;-2,5171
00:00:00,016,100;-0,3784;-2,4292
00:00:00,016,200;-0,3979;-2,3193
00:00:00,016,300;-0,3784;-2,2192
00:00:00,016,400;-0,3979;-2,1289
00:00:00,016,500;-0,4175;-2,0093
00:00:00,016,600;-0,3979;-1,9116
00:00:00,016,700;-0,3979;-1,8018
00:00:00,016,800;-0,3687;-1,6821
00:00:00,016,900;-0,3784;-1,5625
00:00:00,017,000;-0,3784;-1,4429
00:00:00,017,100;-0,3784;-1,333
00:00:00,017,200;-0,3979;-1,2134
00:00:00,017,300;-0,3882;-1,0938
00:00:00,017,400;-0,3687;-0,9644
00:00:00,017,500;-0,3687;-0,8545
00:00:00,017,600;-0,3589;-0,7349
00:00:00,017,700;-0,3687;-0,6177
00:00:00,017,800;-0,3369;-0,4883
00:00:00,017,900;-0,3467;-0,3784
00:00:00,018,000;-0,3369;-0,2393
00:00:00,018,100;-0,3467;-0,1196
00:00:00,018,200;-0,3589;0
00:00:00,018,300;-0,3174;0,1099
00:00:00,018,400;-0,3076;0,2393
00:00:00,018,500;-0,2979;0,3687
00:00:00,018,600;-0,2979;0,4785
00:00:00,018,700;-0,2979;0,5786
00:00:00,018,800;-0,2783;0,6885
00:00:00,018,900;-0,2979;0,8179
00:00:00,019,000;-0,2686;0,9155
00:00:00,019,100;-0,1294;1,0156
00:00:00,019,200;-0,0879;1,0962
00:00:00,019,300;0,0513;1,1938
00:00:00,019,400;0,1001;1,3037
00:00:00,019,500;0,1294;1,3647
00:00:00,019,600;0,1392;1,4331
00:00:00,019,700;0,2002;1,5137
00:00:00,019,800;0,2002;1,582
00:00:00,019,900;0,2393;1,6626
00:00:00,020,000;0,2588;1,7236
00:00:00,020,100;0,2588;1,8018
00:00:00,020,200;0,2881;1,8408
00:00:00,020,300;0,2686;1,9116
00:00:00,020,400;0,2881;1,9727
00:00:00,020,500;0,3003;2,0215
00:00:00,020,600;0,3101;2,0801
00:00:00,020,700;0,3296;2,1509
00:00:00,020,800;0,3003;2,1997
00:00:00,020,900;0,3296;2,2705
00:00:00,021,000;0,3394;2,3096
00:00:00,021,100;0,3491;2,3608
00:00:00,021,200;0,3491;2,4292
00:00:00,021,300;0,3491;2,478
00:00:00,021,400;0,3784;2,5195
00:00:00,021,500;0,3589;2,5879
00:00:00,021,600;0,3687;2,6392
00:00:00,021,700;0,3882;2,7075
00:00:00,021,800;0,3979;2,7783
00:00:00,021,900;0,4077;2,8467
00:00:00,022,000;0,4297;2,8882
00:00:00,022,100;0,4297;2,9565
00:00:00,022,200;0,4492;2,9956
00:00:00,022,300;0,459;3,0566
00:00:00,022,400;0,4492;3,125
00:00:00,022,500;0,4492;3,147
00:00:00,022,600;0,4688;3,2251
00:00:00,022,700;0,4785;3,2666
00:00:00,022,800;0,4688;3,335
00:00:00,022,900;0,4883;3,374
00:00:00,023,000;0,4883;3,4448
00:00:00,023,100;0,4883;3,4839
00:00:00,023,200;0,4883;3,5254
00:00:00,023,300;0,4688;3,584
00:00:00,023,400;0,4688;3,5938
00:00:00,023,500;0,498;3,6548
00:00:00,023,600;0,498;3,6841
00:00:00,023,700;0,498;3,7134
00:00:00,023,800;0,5078;3,7329
00:00:00,023,900;0,5078;3,7622
00:00:00,024,000;0,5176;3,7524
00:00:00,024,100;0,4785;3,772
00:00:00,024,200;0,5176;3,7622
00:00:00,024,300;0,4688;3,772
00:00:00,024,400;0,5078;3,772
00:00:00,024,500;0,4785;3,7329
00:00:00,024,600;0,4785;3,7036
00:00:00,024,700;0,4785;3,6035
00:00:00,024,800;0,498;3,5352
00:00:00,024,900;0,498;3,4741
00:00:00,025,000;0,4785;3,4058
00:00:00,025,100;0,4785;3,3252
00:00:00,025,200;0,459;3,2349
00:00:00,025,300;0,459;3,1763
00:00:00,025,400;0,459;3,0664
00:00:00,025,500;0,4395;2,9761
00:00:00,025,600;0,4492;2,8784
00:00:00,025,700;0,4175;2,7881
00:00:00,025,800;0,4395;2,7075
00:00:00,025,900;0,4175;2,5879
00:00:00,026,000;0,4175;2,5195
00:00:00,026,100;0,4175;2,4194
00:00:00,026,200;0,3979;2,2998
00:00:00,026,300;0,3979;2,1997
00:00:00,026,400;0,4077;2,1118
00:00:00,026,500;0,4175;2,0117
00:00:00,026,600;0,3882;1,8921
00:00:00,026,700;0,3979;1,7822
00:00:00,026,800;0,3882;1,6528
00:00:00,026,900;0,3784;1,5527
00:00:00,027,000;0,3882;1,4331
00:00:00,027,100;0,3784;1,3135
00:00:00,027,200;0,3784;1,1938
00:00:00,027,300;0,3784;1,0645
00:00:00,027,400;0,3882;0,957
00:00:00,027,500;0,3589;0,8374
00:00:00,027,600;0,4077;0,7275
00:00:00,027,700;0,3687;0,5981
00:00:00,027,800;0,3979;0,4785
00:00:00,027,900;0,3979;0,3491
00:00:00,028,000;0,4175;0,2295
00:00:00,028,100;0,4077;0,1099
00:00:00,028,200;0,4175;-0,0195
00:00:00,028,300;0,3979;-0,1294
00:00:00,028,400;0,4297;-0,249
00:00:00,028,500;0,4297;-0,3687
00:00:00,028,600;0,4175;-0,4761
00:00:00,028,700;0,4297;-0,5957
00:00:00,028,800;0,4297;-0,6763
00:00:00,028,900;0,4175;-0,8252
00:00:00,029,000;0,4297;-0,9058
00:00:00,029,100;0,3003;-1,0156
00:00:00,029,200;0,2295;-1,123
00:00:00,029,300;0,0806;-1,2134
00:00:00,029,400;0,061;-1,3232
00:00:00,029,500;-0,0098;-1,4136
00:00:00,029,600;0;-1,4722
00:00:00,029,700;-0,0293;-1,5527
00:00:00,029,800;-0,0391;-1,6113
00:00:00,029,900;-0,0684;-1,6821
00:00:00,030,000;-0,1001;-1,731
00:00:00,030,100;-0,1196;-1,8018
00:00:00,030,200;-0,1294;-1,8604
00:00:00,030,300;-0,1587;-1,9312
00:00:00,030,400;-0,188;-1,9702
00:00:00,030,500;-0,2173;-2,041
00:00:00,030,600;-0,2295;-2,1094
00:00:00,030,700;-0,249;-2,1606
00:00:00,030,800;-0,249;-2,2192
00:00:00,030,900;-0,2783;-2,29
00:00:00,031,000;-0,3076;-2,3291
00:00:00,031,100;-0,3076;-2,3779
00:00:00,031,200;-0,3174;-2,4487
00:00:00,031,300;-0,3467;-2,4976
00:00:00,031,400;-0,3687;-2,5684
00:00:00,031,500;-0,3784;-2,627
00:00:00,031,600;-0,4175;-2,688
00:00:00,031,700;-0,3882;-2,7368
00:00:00,031,800;-0,4175;-2,7954
00:00:00,031,900;-0,4272;-2,8564
00:00:00,032,000;-0,4175;-2,8955
00:00:00,032,100;-0,4663;-2,9468
00:00:00,032,200;-0,437;-2,9956
00:00:00,032,300;-0,4565;-3,0542
00:00:00,032,400;-0,4565;-3,1055
00:00:00,032,500;-0,4468;-3,1543
00:00:00,032,600;-0,4468;-3,2153
00:00:00,032,700;-0,4272;-3,2642
00:00:00,032,800;-0,437;-3,3252
00:00:00,032,900;-0,4175;-3,3838
00:00:00,033,000;-0,4175;-3,4229
00:00:00,033,100;-0,4175;-3,4839
00:00:00,033,200;-0,4077;-3,5327
00:00:00,033,300;-0,4175;-3,5718
00:00:00,033,400;-0,4175;-3,6133
00:00:00,033,500;-0,3979;-3,6523
00:00:00,033,600;-0,3784;-3,6816
00:00:00,033,700;-0,3589;-3,7231
00:00:00,033,800;-0,3784;-3,7231
00:00:00,033,900;-0,3687;-3,772
00:00:00,034,000;-0,3784;-3,7427
00:00:00,034,100;-0,3589;-3,772
00:00:00,034,200;-0,3687;-3,7817
00:00:00,034,300;-0,3687;-3,7817
00:00:00,034,400;-0,3467;-3,7622
00:00:00,034,500;-0,3369;-3,7427
00:00:00,034,600;-0,3467;-3,7329
00:00:00,034,700;-0,3467;-3,6328
00:00:00,034,800;-0,3369;-3,5522
00:00:00,034,900;-0,3467;-3,4741
00:00:00,035,000;-0,3271;-3,4131
00:00:00,035,100;-0,3369;-3,335
00:00:00,035,200;-0,3369;-3,2544
00:00:00,035,300;-0,3589;-3,1836
00:00:00,035,400;-0,3467;-3,0762
00:00:00,035,500;-0,3589;-3,0054
00:00:00,035,600;-0,3687;-2,8857
